медбур	best
кирпичнӧй	brick
киссьысь	dripping
киссьысь	pouring
киссьӧм	torn
киссьӧм	lacerated
киссян	dripping
кисьмысь	ripening
китрӧй	sly
китрӧй	cunning
китыра	small
китыра	handful
классическӧй	classical
класснӧй	class
класснӧй	classroom
клубса	club
клящӧй	strong
коддзӧдан	alcoholic
кодз	castrated
кодзувтӧм	starless
кодзула	starry
кодь	rather
кодя	stately
кодя	imposing
кодя	magnificient
кокни	light
кокни	easy
кокньыд	light
кокньыд	easy
кокыльӧсь	lumpy
колана	necessary
колана	inevitible
колысь	greedy
колысь	miserly
колысь	stingy
кольквиж	yellow
кольӧм	last
колян	last
колян	past
коммерческӧй	commercial
коммунальнӧй	communal
коммунальнӧй	municipal
коммунальнӧй	public
кондитерскӧй	pastry
коннӧй	horse
консультативнӧй	consultative
консультативнӧй	advisory
контрактнӧй	contract
контрольнӧй	test
координационнӧй	coordinative
копыра	bent
кос	dry
косньӧд	thin
косньӧд	lean
косньӧд	skinny
косьмысь	drying
коткыля	bent
котралысь	runner
котралысь	running
котыртӧм	famililess
краскаӧсь	stained
краснӧй	red
кратайтчысь	exagerating
крепыд	strong
крестьянскӧй	farmer
кристиана	Christian
кроническӧй	chronic
кувтӧм	immortal
кузь	long
кузьмӧс	oblong
кузьмӧс	oval
культурнӧй	cultural
кулӧма	dead
куньса	closed
кургов	bitter
курыд	bitter
куш	empty
куш	bare
кывтыд	downstream
кывтӧм	mute
кывтӧм	dumb
кыз	fat
кыз	thick
кыз	deep
кыйтӧм	uncaught
кымӧра	cloudy
кымӧртӧм	cloudless
кын	frozen
кынӧма	pregnant
кыпыд	happy
кыпыд	optimistic
кыпыд	brave
кыпыд	large
кырта	rocky
кӧдзыд	cold
кӧдзыд	frost
кӧрта	iron
лабутнӧй	stern
лирическӧй	lyrical
личыд	loose
лишалана	superfluous
лишалана	extra
ловтӧм	inanimate
ловъя	live
ловъя	living
ловъя	animate
локтан	arrival
локтан	coming
лолалан	respiratory
ломтывтӧм	unheated
лунвывса	southern
лунся	daily
лы	bone
лыа	boned
лыдпаса	statistical
лымъя	snowy
лышкыд	generous
лышкыд	lavish
лэчыд	bold
лэчыд	turbulent
ляб	sensitive
ляб	susceptible
лякӧсь	soiled
лякӧсь	smeared
ляпкыд	shallow
ляпкыд	low
лёк	bad
лёк	evil
лёк	mean
лёк	unfit
лёк	useless
лёк	ugly
лӧз	blue
лӧзов	bluish
лӧзоват	bluish
лӧнь	quiet
лӧнь	calm
лӧнь	gentle
лӧпоть	lopoty
лӧсьыд	pleasant
лӧсьыд	comfortable
лӧсявтӧм	absurd
лӧсялана	suitable
лӧсялана	fitting
лӧсялана	proper
лӧсялана	appropriate
магнита	magnetized
майбырӧй	happy
майбырӧй	fortunate
майкыд	soft
математическӧй	mathematic
математическӧй	mathematical
матысса	near
матысса	close
матысса	next
матысса	near
матысса	dear
матігӧгӧрса	nearby
матігӧгӧрса	surrounding
медбӧб	stupidest
медбӧръя	last
медводдза	first
медводдза	premier
медводдза	foremost
медицинскӧй	medical
международнӧй	international
мезда	free
мелі	sweet
мелі	pleasant
мерайттӧм	immeasureable
местнӧй	local
местсавывса	local
минеральнӧй	mineral
мисьтӧм	ugly
мисьтӧминик	tasteless
мисьтӧминик	crude
мифическӧй	mythical
мича	pretty
мича	beautiful
молодеч	youth
мудер	sly
мудз	tired
мудзӧма	tired
музыкальнӧй	musical
муниципальнӧй	municipal
мупытшкӧсса	mineral
муса	dear
мусаник	adorable
мустӧм	disagreeable
мустӧм	hated
муувса	subterranian
муувса	underground
мывкыд	clever
мывкыд	intelligent
мывкыд	sensible
мыжа	guilty
мыжтӧм	innocent
мыла	melodious
мыссян	washing
мӧдарладорса	opposing
мӧдарладорса	contrary
мӧдӧд	second
мӧдӧд	other
народнӧй	people's
народнӧй	national
нарт	insubordinate
научнӧй	scientific
национальнӧй	ethnic
национальнӧй	national
нацистскӧй	Nazi
наян	sly
наян	cunning
наян	crafty
небыд	soft
независимӧй	independent
ненецкӧй	Nenets
нефтянӧй	oil
нефтянӧй	petroleum
неыджыд	little
неыджыд	small
ниа	larch
нильӧг	slippery
нильӧг	grimy
нималана	famous
нимкодь	pleasure
номера	number
нывдырся	maiden
ныж	dull
ньӧжмыд	slow
ньӧжмыдик	slow
нэмӧвӧйся	ancient
нюра	swampy
нюра	marshy
нюра	boggy
нявзысь	miewing
няйт	dirty
няйт	filthy
нёрпалысь	sick
нёрпалысь	ill
нёрпалысь	nauseous
общественнӧй	social
общественнӧй	public
озыр	rich
омӧль	bad
омӧль	poor
омӧль	weak
оперативнӧй	strategical
оперативнӧй	operation(s)
орчча	neighbor(ing)
орчча	adjacent
официальнӧй	official
ошкана	commendable
пась	open
паськыд	wide
паськыд	broad
паськыд	vast
паськыд	extensive
пашкыр	branchy
пашкыр	spreading
педагогическӧй	pedagogical
пейзажнӧй	landscape
пельк	agile
пельк	nimble
пельк	comfortable
пельк	clean
пелькиник	neat
пелькиник	tidy
пемыд	dark
пемыд	illiterate
пенсионнӧй	pension
первичнӧй	primary
первичнӧй	initial
пермскӧй	P
пермяна	Permic
петан	leaving
пионерскӧй	pioneer
писка	squeamish
писка	finicky
писькӧс	capable
писькӧс	skillful
пишшаля	armed
плавкӧс	flat
повзьӧдчана	frightening
повзьӧдчана	terrifying
подув	positive
политическӧй	political
посёлокпытшса	village
посёлокпытшса	community
посёлокпытшса	settlement
почётнӧй	honorary
поэтическӧй	poetic
правовӧй	legal
правӧвӧй	legal
правӧвӧй	lawful
прамӧй	straight
природаса	natural
профессиональнӧй	professional
прӧст	vacant
прӧст	free
психическӧй	mental
психологическӧй	psychological
публицистическӧй	publicistic
пузчужӧм	nursing
пуктысян	planting
пуктысян	seeding
пуктысян	sowing
пыді	deep
пыдіа	deep
пым	hot
пым	burning
пӧслукман	obedient
пӧсь	hot
пӧсь	burning
пӧт	satisfied
пӧтлытӧм	insatiable
рад	glad
рад	happy
радейтана	beloved
радейтана	favorite
рам	quiet
рам	submissive
рам	gentle
рам	mild
раминик	quiet
раминик	submissive
раминик	gentle
раминик	mild
реалистическӧй	realistic
реальнӧй	real
региональнӧй	regional
рентабельнӧй	profitable
рентабельнӧй	paying
республиканскӧй	republic
решительнӧй	decisive
розничнӧй	retail
романтическӧй	romantic
руа	foggy
руд	grey
рудов	greyish
руш	flabby
рушкуа	pregnant
рыж	fragile
рыночнӧй	market
рышкыд	brittle
рышкыд	fragile
рӧднӧй	native
садь	conscious
самодеятельнӧй	amateur
сардырся	czarist
саридзсайса	oversea(s)
свежӧй	fresh
сера	spotted
сера	speckled
серамбана	humorous
серамбана	funny
сетавлытӧм	unpayed
синтаксис	syntactic
скуп	stingy
скӧр	mean
скӧр	angry
скӧралысь	angered
скӧралысь	wicked
славянскӧй	Slavic
служебнӧй	office
служебнӧй	official
смел	bold
смел	audacious
содталан	adding
содтӧд	extra
содтӧд	additional
содтӧда	additional
сола	salty
сольнӧй	solo
сораса	mixed
социалистическӧй	socialistic
социальнӧй	social
социальнӧй	public
статя	shapely
страшнӧй	horrible
стрӧг	strict
стрӧг	severe
стӧч	exact
стӧч	precise
судзсян	prosperous
судитлӧм	convicted
судоходнӧй	navigable
судӧвӧй	ship's
судӧвӧй	marine
сук	dense
сук	thick
сук	strong
счётнӧй	accounts
сыв	fat
сьвежӧй	fresh
сьӧд	black
сьӧдов	swarthy
сьӧкыд	heavy
сьӧкыд	difficult
сьӧкыд	hard
сэтчӧс	local
сюра	horned
сюсь	clever
сюсь	wise
сюсь	sharp
сюсь	bright
сюсь	comprehending
сюсь	cunning
сяма	skilled
сяма	deft
сяма	like
сёр	late
сісь	rotten
сісь	spoiled
сӧветскӧй	Soviet
сӧвман	development
сӧдз	transparent
сӧнӧд	sinewy
сӧнӧд	lean
сӧнӧд	wiry
сӧнӧдӧсь	muscular
таланта	talented
таланта	gifted
танкӧвӧй	tank
татарскӧй	Tartar
татарскӧй	Tatar
творческӧй	creative
территориальнӧй	territorial
технологическӧй	technical
том	young
торъя	separate
торъя	individual
тоша	bearded
тошка	bearded
трачкӧдчысь	crackling
трачкӧдчысь	crashing
трӧпӧк	fragile
трӧпӧк	crumbly
трӧпӧк	weak
тувсовъя	spring
турунвиж	green
туялысь	researching
туялӧм	researched
туяна	suitable
тшап	pompous
тшап	snobbish
тшап	boastful
тшыг	hungry
тшӧкыд	dense
тыа	fibrous
тыа	stringy
тырмана	sufficient
тырмана	enough
тырмытӧм	unnecessary
тырмытӧм	insufficient
тэрыб	bustling
тіралысь	quivering
тіралысь	shaking
тіралысь	shivering
тӧдса	familiar
тӧла	windy
тӧлка	wise
тӧлка	intelligent
тӧлка	ingenious
тӧлыся	moon
тӧлыся	lunar
увдор	low(er)
уджалысь	working
уджач	industrious
уджвывса	work
уджвывса	labor
уезднӧй	cheap
украинаса	Ukrainian
улис	humid
улис	moist
уль	raw
уль	damp
уль	wet
улі	lower
унитарнӧй	unitary
уставнӧй	regulation
уставнӧй	statutory
уставнӧй	prescribed
участкӧвӧй	district
учредительнӧй	constituent
фантастическӧй	fantastic
федеральнӧй	federal
фермерскӧй	farm
физическӧй	physical
филологическӧй	philological
финансӧвӧй	financial
финансӧвӧй	fiscal
фондӧвӧй	fund
химическӧй	chemical
хирургическӧй	surgical
художественнӧй	artistic
художествоа	artistic
цардырся	czarist
царса	czarist
ценнӧй	valuable
центральнӧй	central
цинкӧвӧй	zinc
циркӧвӧй	circus
частнӧй	private
чепсасян	insulting
чепсасян	slanderous
четвергся	Thursday
чиг	neat
чиг	pretencious
чиг	particular
чинталан	reducing
чистӧй	clean
чистӧй	blank
чорыд	callous
чорыд	tough
чорыд	hard
чорыд	tight
чувашскӧй	Chuvassian
чужан	birth
чурвидзысь	protruding
чуткасьысь	prickly
чуткасьысь	thorny
чутӧсь	spotted
чӧв	quiet
чӧскыд	tasty
чӧскыдтӧм	tasteless
шабді	flax
шабді	linen
шабді	flax
шабді	linen
шань	affectionate
шань	good
шань	polite
шань	civil
шань	modest
шома	sour
шондіа	sunny
шоныд	warm
шоч	rare
шоч	infrequent
шуда	happy
шуйга	left
шуӧм	spoken
шыбитчана	loud
шыбитчана	garish
шыльыд	smooth
шыльыд	even
шӧр	mutual
шӧр	main
шӧр	middle
шӧркост	central
шӧркост	middle
ыджыд	big
ыджыд	large
ылі	far
ылі	distant
ыркыд	cool
ыркыд	chilly
ышмысь	mischievious
ышмысь	naughty
ышӧдана	encouraging
эжа	broad
экологическӧй	ecological
экономическӧй	economic
экспериментальнӧй	experimental
эм	exists
эм	is
эм	be
эскан	faithful
эскӧдан	convincing
эскӧдан	credible
этатшӧм	such
эштӧдтӧм	incomplete
юан	drinkable
юан	potable
югыд	bright
югыд	light
югыдгӧрд	pink
юксьӧм	separated
юра	bright
юра	brilliant
юра	intelligent
юралысь	leading
юралысь	directing
юридическӧй	juridical
яр	bright
яр	glowing
яр	blazing
яр	vehement
ярскӧб	distinct
ярскӧб	precise
ярскӧб	bitter
яръюгыд	bright
яръюгыд	blinding
яръюгыд	bright
яръюгыд	brilliant
ясыд	clear
ясыд	defined
ясыдтӧм	unclear
ясыдтӧм	undefined
ён	strong
ён	powerful
ёсь	sharp
ёсь	precise
ёсь	bitter
ӧнія	modern
ӧнія	present
ӧнія	present
ӧтка	individual
ӧтка	single
ӧтка	separate
ӧтка	private
ӧткодь	similar
ӧткодь	identical
ӧткодялӧм	comparable
кыдз	how
явӧ	obviously
явӧ	clearly
аски	tomorrow
бара	again
барышнӧ	beneficially
бӧльӧ	more
бӧльӧ	better
бӧр	back
бӧр	again
бӧр	return
бӧрӧ	back
бӧрӧ	behind
бӧрӧн	backwards
бӧрӧн	secretly
бӧрсӧ	back
бӧрсі	then
бӧрсі	afterwards
бӧрти	then
бӧрти	afterwards
бӧрын	afterwards
бӧрвыв	back
бӧрвыв	backwards
беда	awfully
бережнӧя	carefully
бережнӧя	gently
беспути	very
беспути	mercilessly
безвиннӧ	innocently
безвиннӧ	guiltlessly
быдсӧн	even
бокала	sideways
боквыв	aside
бонбус	very
бон	very
брӧд	through
брӧд	absolutely
брӧд	completely
брӧд	entirely
бриньк	clink
бриньк	hop
брон	motionlessly
бура	well
бура	quite
бура	very
буракӧ	apparently
буретш	just
буретш	only
буретш	precisely
буретш	just
буриндзика	properly
буриндзика	thoroughly
буриника	properly
буриника	thoroughly
бурпырысь	friendly
час	now
частӧ	often
чав	totally
чав	completely
чӧла	quietly
чиг	only
чожа	quickly
чожа	soon
да	yes
дарӧм	eventhough
дӧбельки	too
дӧсьмерти	terribly
дӧвӧль	enough
дӧзмӧмпырысь	angrily
дерт	naturally
дорала	continuously
дорыньӧн	sideways
дорыньӧн	askew
доза	enough
доза	rather
друг	suddenly
другӧн	suddenly
дув	smoothly
джӧм	suddenly
дзурс	quite
дзурс	completely
дзурс	entirely
дзув	through
эсся	yet
эсся	still
ӧдйӧ	quickly
ӧдва	barely
ӧдва	faintly
ӧдвакӧ	hardly
ӧні	now
ӧтчыд	once
ӧтчыдысь	once
ӧткӧн	alone
ӧткымынлаын	somewhere
ӧтлаын	together
ӧтлаын	together
ӧтлаын	totalling
ӧттшӧтш	simultaneously
ӧтув	together
ӧтвылысь	together
ӧтвыв	together
ещӧ	still
ещӧ	more
гажаа	happily
гӧгӧр	about
гӧгӧр	approximately
гӧгӧрпӧв	around
гежӧда	rarely
гежӧда	seldom
гымкылӧ	rumbling
гораа	loudly
гусьӧник	quietly
гусьӧник	secretly
ылӧс	approximately
ылӧс	about
ылӧсас	approximately
ылӧсас	about
канебӧн	noiselessly
канебӧн	unnoticed
капитальнӧя	completely
кӧн	where
кыкысь	twice
кымыньӧн	prone
кызвыйӧ	mainly
кийывсӧн	carelessly
кийывсӧн	unwillingly
кийывсӧн	reluctantly
кикурӧда	carelessly
кикурӧда	lackadaisically
кималасӧн	groping
кивыв	available
кивыв	convenient
кивыв	handy
кодакості	meanwhile
кодакості	when
кокньыда	easily
кокньыда	lightly
колӧкӧ	apparently
колӧкӧ	maybe
коркӧ	once
корсюрӧ	sometimes
корсюрӧ	anytime
куш	only
куш	merely
кутшӧмкӧ	some
ладӧн	plainly
ладӧн	clearly
ладӧн	slowly
ланьтӧмӧн	silent
лӧсьыда	pleasantly
ловйӧн	alive
любӧпырысь	gladly
любӧпырысь	happily
лючки	well
лючки	fine
лючки	happily
лунъяснас	daily
матӧ	nearly
матӧ	almost
мед	most
медбӧрын	finally
медбӧрти	finally
медся	most
медуна	most
медвойдӧр	first
мичаа	beautifully
нач	really
надзӧн	slowly
надзӧникӧн	slowly
надзӧникӧн	gradually
нарошнӧ	deliberately
нэмсӧ	always
нӧшта	still
неылын	near
некӧн	nowhere
некӧні	nowhere
некор	never
нырӧн	facing
нин	already
нин	only
ньӧтчыд	never
ньӧтчыдысь	never
ньӧжйӧ	slowly
ньӧжйӧн	slowly
ёна	very
ёна	much
окотапырысь	gladly
омӧля	badly
омӧля	poorly
омӧля	weakly
ортсыӧ	out
ортсыӧ	outward
паныд	against
паныд	refuse
пасьтала	around
пӧди	perhaps
пӧди	maybe
пӧрйӧ	time
пӧшти	almost
пӧся	ardently
первойсӧ	initially
пыр	always
пыр	still
пырджык	usually
пырджык	normally
подӧн	afoot
полӧмпырысь	meekly
помся	forever
помся	indefinitely
помся	incessantly
прӧстӧ	simply
радпырысь	gladly
регыд	soon
регыд	shortly
рытъянас	evenings
шӧрын	amid
шоча	seldom
шоча	rarely
шогпырысь	sad
сэк	then
сэки	then
сэн	there
сэні	there
сэтӧн	there
сэтчӧ	there
сэтчӧ	thither
сӧмын	just
сӧмын	only
сідзжӧ	likewise
скӧра	angrily
сёрджык	later
сёрӧн	late
сюся	intelligently
талун	today
тан	here
тані	here
татчӧ	here
татчӧ	hither
татӧн	here
тавой	tonight
тӧдчымӧн	influencing
тӧдчымӧн	noticibly
тӧдчымӧн	noteably
тӧнлун	yesterday
тӧрыт	yesterday
тӧвъяснас	winters
тырмымӧн	enough
торйӧн	especially
тотшкӧдчӧмӧн	knocking
тшӧкыда	often
улӧ	below
улын	below
унджык	more
важӧн	earlier
важысянь	already
вӧлись	finally
век	always
век	continuously
век	still
векджык	generally
векджык	ordinarily
вель	very
вель	quite
вель	rather
весиг	even
веськыда	directly
веськыда	straight
вылын	above
вывті	too
вывті	excessively
видзшысьӧмӧн	carefully
видзӧдтӧг	regardless
вочасӧн	gradually
вочасӧн	slowly
водз	early
водзӧ	onward
водзӧ	forward
водзвыв	first
войяснас	nights
войдӧр	earlier
войдӧр	first
войколӧн	overnight
жальпырысь	reluctantly
журӧбӧн	quickly
журӧбӧн	swiftly
журӧбӧн	headlong
забыль	really
загреки	terrible
загреки	awfully
завсе	always
здӧвӧль	sufficiently
здӧвӧль	enough
зэв	really
зэв	very
зумыда	firmly
зумыда	strongly
быдлаын	everywhere
а	and
а	but
да	and
и	also
и	and
кӧ	if
кӧ	although
кӧть	eventhough
кӧть	although
кӧть	or
либӧ	or
либӧ	nor
мый	that
ни	nor
сідзкӧ	thus
за	but
ало	hello
чолӧм	hi!
чолӧм	hello!
ладнӧ	okay
тай	apparently
аттӧ	oh
брысь	shoo
брун	plop!
брун	splash!
брут	splash!
брут	plop!
дзен	bang!
эстшӧм	how
гашкӧ	perhaps
кӧчамач	terrific
но	but
ноко	now
ноко	well
ой	oh
тьпу	pooh
жаль	pity
АО	LTD
АО	Limited
ВИЧ	HIV
