abstrákta	abstrakti
dilddas	hyllyvä
dilálaš	kiireetön
dimis	pehmeä
dirbbot	hätäilevä
divas	saita
divrras	kallis
diđolaš	tietäväinen
diđolaš	tietoinen
diđolaš	tunnettu
doaibmi	aktiivinen
doaimmaheapme	toimeton
doaimmaheapme	aloitekyvytön
doaimmalaš	toimelias
doaivvuheapme	toivoton
doaladahkes	pidättelevä
doavki	tyhmä
doavkkas	tyhmähkö
dobbelaš	sikäläinen
dohkálaš	kelvollinen
dohkálaš	pätevä
dohkálaš	sopiva
doksái	sammaltava
dolaheapme	lämmittämätön
dolaheapme	tuleton
dolalaš	salamannopea
dolddas	kulunut
dološ	muinainen
dološ	vanha
dolá	entinen
dorrolas	tappelunhaluinen
dorrolas	puskuri
dorvvolaš	turvallinen
dorvvuheapme	turvaton
dorvvuheapme	masentunut
dovdameahttun	tuntematon
dovddolaš	tunnollinen
dovddus	tunnettu
dovddus	tuttu
duggolas	takkuuntuva
duhkorahkes	leikkisä
duhkordallalas	leikkisä
duhtavaš	tyytyväinen
duiska	saksalainen
dulppas	tylppä
dulpái	tylppä
dumpái	sammaltava
dumsui	vanuttuva
duoddul	sietokykyinen
duoddul	uskalias
duoggái	takkuinen
duohta	totta
duohta	tosi
duokkas	takkuuntuva
duokkas	rujo
duolbbas	litteä
duoldalas	puhelias
duolvalas	liantunteva
duolvil	liantunteva
duolvvas	likainen
duorššas	litteänaamainen
duorššas	lättänaamainen
duostil	uskalias
duođalaš	vakava
durjjas	sottainen
duskkas	ärtyisä
duskái	tuskainen
duskái	ärtyisä
duđaheapme	tyytymätön
duđavaš	tyytyväinen
duđđalas	kuhnaileva
duđđalas	hössöttävä
dábiheapme	änkyrä
dábálaš	tavallinen
dádjolas	houkkaava
dáiddalaš	taiteellinen
dáidduheapme	taitamaton
dálkkaslaš	lääkkeellinen
dálsái	jaaritteleva
dálvvas	talvinen
dálá	nykyinen
dálá	tämänhetkinen
dáláš	nykyaikainen
dámakeahtes	kesyttämätön
dánmárkulaš	tanskalainen
dánska	tanskalainen
dánskalaš	tanskalainen
dánáigge	nykyään
dánáigge	nykyaikana
dárbbašlaš	tarpeellinen
dárbbašmeahttun	tarpeeton
dárbbuheapme	tarpeeton
dárki	tarkka
dárkil	tarkka
dárkilmeahttun	epätarkka
dárogielat	norjankielinen
dárrolaš	norjalainen
dárrolaš	norjantaitoinen
dáseheapme	epäsäännöllinen
dássásaš	tasavertainen
dássáš	tähänastinen
dávdái	tautinen
dáđas	tahmainen
dáškái	ryvettävä
eahccil	mieltynyt
eahccil	seurallinen
eahpegulolaš	tottelematon
eahpesihkar	epävarma
eahpeveaddji	huonovointinen
eahpečielggas	epäselvä
eahpidahtti	epäilyttävä
eaktodáhtolaš	vapaaehtoinen
ealas	elinvoimainen
ealas	elollinen
ealjoheapme	toimeton
eallilan	iäkäs
ealus	eloansa
eambbo	enemmän
earenoamáš	erinomainen
earálágan	erilainen
eatnanlaš	maallinen
eatneheapme	äiditön
eatnálaš	äidillinen
eavas	itkunherkkä
eaŋkal	killinki
eaŋkal	yksinkertainen
ekologalaš	ekolooginen
ekonomalaš	taloudellinen
ekonomálaš	taloudellinen
endena	kunnon
erdui	ärtyisä
erenoamáš	erikoinen
erenoamášpedagogalaš	erikoispedagoginen
erenomáš	erityinen
eurohpalaš	eurooppalainen
evttolaš	ehdollinen
evttolaš	tahallinen
falli	nopea
faskár	varasteleva
fasti	iljettävä
fasti	huono
faŋkkas	kurokaulainen
fiinnis	hieno
fioleahtta	violetti
fiskat	keltainen
fiskeslágan	keltahko
formála	muodollinen
formálalaš	muodollinen
friddja	vapaa
friddja	vapaasti
friija	vapaa
fuolaheapme	välinpitämätön
fuolalaš	huolellinen
fuolkái	sukurakas
fuollameahttun	huolimaton
fuotni	huono
fágalaš	ammatillinen
fámolaš	voimakas
fásta	vakio
galdái	paksurunkoinen
gallji	väljä
gallás	kylläinen
gallás	täynnä
galmmas	kylmä
gappas	valkoinen
garas	kova
garppas	hillitön
gaskaboddasaš	väliaikainen
gaskaboddosaš	väliaikainen
gaskamearálaš	keskivertainen
gaskariikkalaš	kansainvälinen
gaskkamus	keskimmäinen
gassat	paksu
geabbil	ketterä
geaffi	köyhä
geafi	köyhä
geahnoheapme	heikko
geahpas	kevyt
gearggus	selkeä
gearpmus	hämärä
gearrat	kiiltävä
geaseheapme	pieni
geasoheapme	pieni
geassásaš	yksikesäinen
geatkkas	matalajalkainen
geavatlaš	käytännöllinen
geavllas	kaareva
geađgái	kivinen
gelbbolaš	kelvollinen
gelddolaš	jännittävä
geográfalaš	maantieteellinen
gerges	joutuisa
gerolmas	kuuluisa
gielaheapme	ansaton
gielalaš	kielellinen
gierdavaš	kärsivällinen
gierdil	kärsivällinen
gierremas	ohutseinäinen
gievra	vahva
gievra	voimakas
girdálas	lentelevä
girjjat	kirjava
girjái	kirjava
girkolaš	kirkollinen
givas	päättäväinen
givas	peloton
givrras	köyry
goaidi	lohenpunainen
goalmmát	kolmas
goalššas	kolea
goavis	ankara
goavis	kovasydäminen
goavrras	köyry
goađut	tyly
gohpolas	tahmea
gohppái	kuoppainen
gohppái	painanteinen
gohppái	syvänteinen
gohččui	nokinen
goikkis	kuiva
golgi	virtaava
golgi	juokseva
gollas	kultainen
gollolas	palelevainen
gollái	kultainen
golnnas	kuihtunut
gonagaslaš	kuninkaallinen
govdat	leveä
govdu	kelluva
govttolaš	kohtalainen
govttolaš	kohtuullinen
guhkesjuolggat	pitkäjalkainen
guhkki	pitkä
guhkkosaš	pituinen
gulccas	huono
gulles	tarkkakorvainen
gulles	herkkäuninen
gullevaš	kuuluva
guohca	mätä
guohca	pilaantunut
guoleheapme	kalaton
guolgái	karvainen
guorus	tyhjä
guoskevaš	koskien
guovddáš	keskeinen
guovllulaš	alueellinen
guovlulaš	alueellinen
guovnnjas	ontto
guovttegielalaš	kaksikielinen
guovttegielat	kaksikielinen
guppas	kyssäniskainen
gurut	vasen
gustojeaddji	kelvollinen
gustovaš	koskevan
guvhllas	kuhmuinen
guđat	kuudes
guđát	kuudes
gušmmus	jäykkä
gušmmus	karski
gáfat	kauhea
gáirras	juovainen
gálššas	kolea
gánas	viluinen
gánnáhahtti	kannattava
gárkka	kitkerä
gárvvis	valmis
gárži	kapea
gárži	ahdas
gásttas	märkä
gáttimus	rannimmainen
gávccát	kahdeksas
gávkkas	toljottava
gávkkas	kolkko
gávppálaš	kaupallinen
gávvil	ovela
gávvil	katala
harbmat	hirmuinen
heaboheapme	hävytön
headju	heikko
headju	huono
heahpatlaš	häpeällinen
heahtahaš	hädänalainen
heakkalaš	elollinen
heakkalaš	henkinen
hearccas	lähentelevä
hearcái	lähentelevä
hearki	herkkä
hearrái	herraskainen
hearvái	huvittava
hearvás	ihana
hearvás	kirkastaa
hebreálaš	heprealainen
hegges	sitkeähenkinen
heggeš	sitkeähenkinen
heila	koko
heittot	heikko
heittot	huono
heivemeahttun	sopimaton
heivemeahttun	soveltumaton
heivvolaš	sopiva
herskui	nirso
hilbat	villi
hillján	hiljainen
himolaš	himokas
himuheapme	himoton
hiras	vauhko
hirbmat	hirveä
historjjálaš	historiallinen
hiđis	hidas
hiŋkálas	nyyhkyttäväinen
hohpolaš	kiireellinen
hubmái	puhelias
hurskkis	hurskas
hutkkálaš	kekseliäs
hutkái	kekseliäs
háddjái	haiseva
háissas	haiseva
hálaheapme	puhumaton
hálaheapme	vähäpuheinen
hálbi	halpa
hálddahuslaš	hallinnollinen
hállái	puhelias
hárbmalas	äreä
hárdui	leveäharteinen
hárpmas	ärtyisä
hárvi	harva
hárvvis	harva
háskár	haaskaava
hávski	hauska
ievttá	eilinen
iešguđetlágan	monenlainen
iešguđetlágan	erilainen
iešheanalaš	itsenäinen
ihcaveaiddat	itsepintainen
ihcaveaiddat	omavaltainen
ihcaválddat	itsepintainen
ihcaválddat	omavaltainen
ihttá	huominen
imaš	kummallinen
imaš	ihmeellinen
imašlaš	ihmeellinen
individuála	yksilöllinen
ipmilhis	jumalattoman
ipmirdahtti	ymmärrettävä
issoras	hirveä
issoras	kamala
ittis	pulska
ivdnái	värikäs
ivnneheapme	väritön
ivnneheapme	kalvakka
iđidaš	aamuinen
jabbolas	mulkoileva
jahkásaš	yksivuotinen
jalahas	pilvetön
jalla	hullu
jalla	typerä
jarffas	pullea
jarfái	pullea
jaskat	hiljainen
jaskat	tyyni
jaŋas	rutikuiva
jeagatmeahttun	tottelematon
jeaggái	soinen
jeagiheapme	vuotava
jeagoheapme	tottelematon
jearggalaš	järkevä
jearggalaš	johdonmukainen
jeđđehahtti	lohdutettava
jeđđehahtti	lohtuisa
jidnii	äänekäs
jiegŋái	jäinen
jiehkkái	jäätikköinen
jierbmái	järkevä
jierbmái	järjellinen
jierpmeheapme	järjetön
jierpmálaš	järjellinen
joavdelas	joutava
joavdelas	joutilas
joavdil	joutuisa
johtil	nopea
jolggalaš	julkinen
joraheapme	pyörimätön
jorbat	pyöreä
jorbbas	pyöreä
jorbmái	syvänteinen
jorgalmeahttun	kääntymätön
jođiheapme	luistamaton
jođuheapme	luistamaton
jođán	nopea
jođán	nopsa
judnii	juonikas
jugahahtti	juotava
juggái	painanteinen
juguheapme	raitis
julev	luulaja
julggaheapme	salakähmäinen
jullái	meluisa
julmmut	tyly
juohkelágan	kaikenlaiset
juoigalas	joikaavainen
juolggeheapme	huonojalkainen
juolggálaš	nopsajalkainen
juorbbas	kiikkerä
juorbbehas	kiikkerä
jurbolas	kiikkerä
juridihkalaš	juridinen
juvdálaš	juutalainen
jábálaš	vauras
jáffui	jauhoinen
jáhkehahtti	luultavasti
jáhkkemeahttun	epäuskoinen
jáhkkemeahttun	uskomaton
jáhkkeš	herkkäuskoinen
jáhkkil	hyväuskoinen
jáhkkálas	herkkäuskoinen
jállu	rohkea
jállu	peloton
jámolaš	kuolevainen
jánas	kutistunut
jápmemeahttun	kuolematon
jápmán	kuollut
jávrreheapme	järvetön
jávrreheapme	vähäjärvinen
keaisárlaš	keisarillinen
klovkken	ovela
knáhpis	niukka
knáhpis	visu
konkrehta	konkreettinen
konkrehtalaš	konkreettinen
kristtalaš	kristillinen
kránto	kranttu
kultuvrralaš	kulttuurinen
kuonna	virtsanhajuinen
lagamus	lähin
lagamuš	lähin
lagamuš	lähimmäinen
lagas	läheinen
lagaš	läheinen
lastái	lehtevä
leahkkái	laaksoinen
lestadiánalaš	lestadiolainen
liekkas	lämmin
liekkus	mieto
lihkoheapme	onneton
lihkolaš	onnellinen
lihkuheapme	onneton
liiggálaš	erikoinen
liiggálaš	liiallinen
linccas	repaleinen
linis	pehmeä
loahpalaš	lopullinen
loarffas	löntystävä
loarffas	pörröinen
lobiheapme	laiton
lobálaš	luvallinen
lobálaš	laillinen
logádat	kymmenys
logát	kymmenes
lohkameahttun	lukematon
lossat	raskas
lossat	painava
luhteránalaš	luterilainen
luktui	oikukas
lulimus	eteläisin
lulimus	itäisin
lulit	eteläisempi
lulit	itäisempi
lunddolaš	luonnollinen
luohkkái	mäkinen
luohtehahtti	luotettava
luohttevaš	luotettava
luovaskas	helppolypsyinen
luovus	irtonainen
luvas	liotettu
lágalaš	laillinen
lágan	sellainen
láhkásaš	kaltainen
láiki	laiska
láittas	tylsä
láitálas	moittivainen
láivi	heikko
lávkái	pitkäpistoinen
láđis	lempeä
lášmat	vikkelä
mannan	viime
maŋimus	viimeinen
maŋimuš	viimeinen
meaddugas	erehtyväinen
mearkkašahtti	merkityksellinen
mearrideaddji	määräävä
meađggus	imelä
meađggus	raskas
mielkkas	runsasmaitoinen
mielkái	runsasmaitoinen
miellagiddevaš	mielenkiintoinen
miellasaš	mieluinen
mieseheapme	vasaton
mievkkis	pehmeä
mirkkolaš	myrkyllinen
moiddas	pahoinvoiva
molddas	murentunut
mollui	mureneva
molssaevttolaš	vapaaehtoinen
morašlaš	surullinen
morris	aamuvirkku
morrái	aamunvirkku
mosttas	samea
muhttui	isonaamainen
muldui	multava
muolddas	multainen
muoldái	multava
muoraheapme	puuton
muoraheapme	vähäpuinen
muoraheapme	ohut
muorjái	marjava
muoseheapme	rauhaton
muttolaš	kohtuullinen
muttát	sopiva
máhken	vertainen
máihlái	mahlainen
máilmmálaš	maailmallinen
máizzas	sula
máizzas	leuto
mánáheapme	lapseton
mávssolaš	arvokas
máŋggabealat	monipuolinen
máŋggakultuvrralaš	monikulttuurinen
máŋggalágan	monenlainen
mášoheapme	levoton
máššil	malttavainen
máŧolaš	mahdollinen
nagirheapme	uneton
nalas	lököttävä
nalttas	pätkä
namaheapme	nimetön
nammasaš	niminen
nanus	luja
nanus	kestävä
nationála	kansallinen
nađđii	isokahvainen
našunála	kansallinen
našuvnnalaš	kansallinen
nealggas	nälkäinen
nealggas	säälittävä
nealgái	nälkäinen
nearas	tylsä
neavri	huono
neavri	piru
negatiiva	negatiivinen
negatiivvalaš	negatiivinen
niestteheapme	eväätön
njalkkas	liukas
njaláhas	liukas
njarttas	läpimärkä
njeaccas	irvistävä
njealját	neljäs
njihtalas	petollinen
njirvvas	likomärkä
njivlái	limainen
njivlái	veltto
njoahci	hidas
njoaiddumus	loivin
njuolgat	suora
njuoskkas	märkä
njuovžžas	oppivainen
njuvvui	limainen
njálggat	makea
njálggis	hyvänmakuinen
njálggis	makeinen
njálmmálaš	suullinen
njáškkas	pitkänhuiskea
nohkkivaš	katoavainen
nohkkivaš	rajallinen
nollas	kykkivä
norgalaš	norjalainen
nubbi	toinen
nuorra	nuori
nuorttamus	itäisin
nuorttamus	pohjoisin
nuorttat	itäisempi
nuorttat	pohjoisempi
nuppelágán	toisenlainen
nurddas	tylppä
nurssas	tylppä
nurvui	nuhainen
nuvvalas	nuriseva
nákkis	ahdas
nárrii	riitaisa
nášuvnnalaš	kansallinen
náššuvnnalaš	kansallinen
oadjebas	turvallinen
oahccái	levollinen
oahcit	levollinen
oahpis	tunnettu
oahpis	tuttu
oahppameahttun	oppimaton
oahppameahttun	kovapäinen
oahppan	oppinut
oahppil	oppivainen
oaidnemeahttun	näkymätön
oaidnil	selvänäköinen
oainnus	näkyvä
oaktái	kuuroinen
oamedovddolaš	omantunnonarka
oamivánhurskkis	omahyväinen
oanehaš	lyhyt
oaraheapme	nuoraton
oardnji	kylmänarka
oarjjit	läntisempi
oarjjit	eteläisempi
oartnjas	kylmänarka
oatni	lyhyt
oavlái	väljä
oavsseheapme	oksaton
oavsseheapme	vähäoksainen
oaččálaš	lihallinen
obbalaš	yleinen
obmui	silmäkkeinen
ohkoladdalas	säntäilevä
ohkolahkes	säntäilevä
oktasaš	yhteinen
olgeš	oikea
olgguldas	ulkoinen
olggumus	uloin
olggut	ulompi
ollis	koko
ollis	kokonainen
ollis	aikuinen
ollislaš	täydellinen
olmmošlaš	kohtelias
oppa	kokonainen
oppalaš	yleinen
ordái	särmikäs
orrul	levollinen
oránša	oranssi
oskkolaš	uskovainen
otná	tämänpäivinen
otnáš	tämänpäivän
ovccát	yhdeksäs
ovddasteaddji	edustaja
ovddemus	ensimmäinen
ovddeš	entinen
ovddit	edellinen
ovttajienalaš	yksimielisesti
ovttalágan	samanlainen
ovttaskas	yksittäinen
ovttaárvosaš	samanarvoinen
ođas	uusi
ođđaivnnálaš	kirkkaanvärinen
ođđaáigásaš	uudenaikainen
ođđaáigásaš	moderni
ođđačalmmat	uudenkipeä
parlamentáralaš	parlamentaarinen
pedagogalaš	pedagoginen
persovnnalaš	henkilöllinen
politihkalaš	poliittinen
positiiva	positiivinen
positiivvalaš	positiivinen
praktihkalaš	käytännöllinen
prinsihpalaš	periaatteellinen
priváhta	yksityinen
priváhtta	yksityinen
psyhkalaš	psyykkinen
psykalaš	psyykkinen
rabas	auki
ranččas	puolialaston
rašši	arka
reahcas	harottava
reavas	herkkäuninen
reavgálas	röyhtäilevä
reavrras	länkisäärinen
reavvas	länkisäärinen
reavžžas	harottava
regionála	alueellinen
relevánta	relevantti
revgolas	röyhtäileväinen
riebas	pilaantunut
riekta	oikea
riektat	suorasyinen
rievttes	oikea
rihča	kitkerä
riidui	riitaisa
riidálas	kateellinen
riikkaidgaskasaš	kansainvälinen
riikkaviidosaš	maankattava
rikkis	rikas
rimssas	resuinen
rinzzas	pallovatsainen
rinččas	puolialaston
risttalaš	kristillinen
rivdal	väkevä
rivggas	riittoisa
riđđui	myrskyisä
riššui	hätiköivä
roahkkalas	koukkaileva
roahkkat	rohkea
roakkas	karhea
roakkas	möreä
roastil	uskalias
roattus	karhea
roattus	pelottava
roađđat	tulipunainen
roggái	kuoppainen
ropmi	ruma
rossii	puuskainen
rossui	puuskainen
ruccas	törkyinen
ruggii	sakkainen
ruhttái	rahakas
rumašlaš	ruumiillinen
ruobbái	rupinen
ruohppái	paakkuinen
ruohtis	karhea
ruohttalas	laukkova
ruoinnas	laiha
ruojus	kolkko
ruoksat	punainen
ruoná	vihreä
ruoppas	rupinen
ruovas	halkeillut
ruovjjeheapme	pieniraajainen
ruovjái	isoraajainen
ruošša	venäläinen
ruoššalaš	venäläinen
ruoŧa	ruotsalainen
russolas	pärskivä
russolas	pärskiväinen
ruvdii	korkealaitainen
ruvdnosaš	kruunuinen
ruđaheapme	rahaton
ruđaheapme	p.a.
ruđalaš	rahallinen
ruŋkálas	ronkkuva
ruškat	ruskea
rádjerihkot	raajarikkoinen
ráfeheapme	rauhaton
ráfálaš	rauhallinen
ráhkis	rakas
ráhppái	rapainen
ráiddolaš	raidollinen
ráiddolaš	raitomies
ráinnas	puhdas
ránis	harmaa
ránska	ranskalainen
ráttas	jääkylmä
rávddis	kireälypsyinen
rávis	aikuinen
ráđálaš	neuvokas
sadjásaš	sijainen
sahpit	jähmeä
sajiheapme	ahdas
seaggi	ohut
seahkálas	sekalainen
seahčat	suippo
sealas	lumeton
sealvi	selvä
sealvvas	selvä
seammaládje	samanlainen
seammalágan	samanlainen
seammalágán	samanlainen
seastevaš	säästäväinen
seasttaskas	säästeliäs
seavdnjat	tumma
seavdnjat	pimeä
servodatlaš	yhteiskunnallinen
servvolaš	osallinen
servvolaš	osakas
sesttolaš	säästäväinen
sieiddas	kosketuksenarka
sierra	erikseen
sierralágan	erilainen
sierranas	erikseen
sieđas	käheä
sieđus	käheä
sihkar	varma
sihkkar	varma
sihtavaš	vaativa
siidui	isokylkinen
siivui	kiltti
siskkáldas	sisäinen
siskálas	sisäkkäinen
sivaheapme	syytön
siviila	siviili
sivvat	varovainen
siđas	käheä
siđus	käheä
skeartnja	kärventynyt
skihčas	törröttävä
skirččas	luiseva
skiŋgil	kilkattava
skoarras	karvakulu
skoddui	sumuinen
skohččebealjat	pystykorvainen
skožas	pysty
skuittas	sojottava
skárttas	karstainen
smarvái	kiharainen
smiehttalas	mietteliäs
smiđis	lauha
smiđis	säyseä
smoahtis	mättäinen
smolgat	huoliteltu
smurtačáhppat	sysimusta
smáhkkui	lastuinen
smáiti	harmaakaihi
smávis	pikkuinen
smávis	pieni
smáđáhkes	mukava
snarras	haarova
snarras	eripurainen
sneavvar	vähäruokainen
snoakkis	niukka
snoakkis	kitsas
snoallái	rivo
snorras	kurttuinen
snuolgái	räkäinen
snárkkas	sykkyräinen
snárkái	sykkyräinen
soahkkái	koivuinen
soajeheapme	siivetön
soajeheapme	hihaton
soajálaš	siivellinen
soalssas	kuolaava
soalssas	kuolainen
soalsái	kuolaava
soalsái	kuolainen
sodnjái	riippaoksainen
sodnjái	roikkuvavaatteinen
sodnjái	rimsuvaatteinen
sogaheapme	suvuton
sojaheapme	taipumaton
somá	hauska
somá	kiva
somá	mukava
sorjavaš	riippumaton
sorjjas	riippuva
sorjjasmeahttun	riippumaton
sorpmálaš	hengenvaarallinen
sorpmálaš	tuhoisa
sorpmálaš	murhanhimoinen
sosiála	sosiaalinen
sosiálalaš	sosiaalinen
speaččas	latuskarintainen
spiertačáhppat	pikimusta
spuŋggas	pullottava
spuŋggas	punkeromainen
spállái	puuskainen
staigil	sävyisä
steaččas	litteä
stivrraheapme	kuriton
stoaljas	ääliömäinen
stoaljas	leväperäinen
stohkas	pökkelöitynyt
strategalaš	strateginen
stroaŋggis	ankara
stukkis	inhottava
stulkkas	kookas
stumppas	pullea
stuoris	iso
stuoris	suuri
stuorámus	suurin
sturrosaš	suuruinen
stáhppái	juovikas
stáhtalaš	valtiollinen
stáleheapme	teräksetön
stávrras	pitkänhuiskea
suddugas	syntinen
sudnjui	rimpinen
sujalaš	syyllinen
sujalaš	velallinen
suksii	huokoinen
sullasaš	samanlainen
sulolaš	suloinen
sulttas	pyylevä
suoddjái	suojaisa
suodnái	suonikas
suohkanlaš	kunnallinen
suohkat	sakea
suohkat	tiheä
suohtas	mukava
suohtas	hauska
suoidnái	heinäinen
suoldnái	kasteinen
suoldnái	usvainen
suollemas	salainen
suoládahkes	varastelevainen
suorggatlaš	kauhistuttava
suosas	riitteinen
suosttas	laho
suosttas	leväperäinen
suovrras	törkyinen
surolaš	surullinen
suttis	sula
suttolaš	syntinen
suttuheapme	synnitön
suvdi	kantava
suvdil	kantava
suvrris	hapan
systemáhtalaš	systemaattinen
sábmái	saamenmielinen
sádnái	runsassanainen
sádnái	kerkeäkielinen
sádnái	runsasleikkoinen
sáhppat	violetti
sáhppái	mehukas
sáhtehahtti	mahdollinen
sákkas	puikkomainen
sákkas	vähähaarainen
sáltteheapme	suolaton
sálttis	suolainen
sámegiel	saamenkielinen
sámegielalaš	saamenkielinen
sámegielat	saamenkielinen
sámepolitihkalaš	saamepoliittinen
sánálaš	sanallinen
sánálaš	henkinen
sánálaš	sanavalmis
sárdnái	puhelias
sávahahtti	toivottu
sávri	kestävä
teahtis	tiivis
teknihkalaš	tekninen
tiidii	taikauskoinen
tropihkalaš	trooppinen
turkalaš	turkkilainen
uddui	arpinen
uddui	kyhmyinen
udju	ujo
uhcagielagaš	puhevikainen
uhcci	pieni
uidni	kaino
ulbmillaš	määrätietoinen
ullui	villainen
uminddet	alaikäinen
umáhttu	taitamaton
unni	pieni
unohas	epämiellyttävä
unohas	hankala
ussel	kurja
ustitlaš	ystävällinen
ustitmeahttun	epäystävällinen
uvjjaheapme	untuvaton
uvjjaheapme	vähäuntuvainen
uvjái	untuvainen
vadni	venyvä
vahkkosaš	viikoittainen
vahátlaš	haitallinen
varaheapme	veretön
varaheapme	vähäverinen
varas	tuore
vašálaš	vihamielinen
veaddji	kestävä
veaddji	vaikutusvaltainen
veaddjil	vaikuttava
veaddjil	aamunvirkku
veadjemeahttun	mahdoton
veagaheapme	lannoittamaton
veagaheapme	väljähtynyt
veahkil	avulla
veahkálaš	avulias
veaittalas	paimentamaton
veajuheapme	voimaton
veajuheapme	huonovointinen
vealggeheapme	velaton
vealgugas	velallinen
vealit	ketterä
vearrái	paha
vearrái	hankala
vearuheapme	veroton
veasttamus	läntisin
veasttamuš	läntisin
veađar	kehittynyt
vejolaš	mahdollinen
velggolaš	velallinen
venzolas	vollottava
venzolas	vollottavinen
viehkalas	juoksevainen
vielgat	valkoinen
vieljalaš	veljellinen
