абонементный	абонемента
грудинный	морӧспаньса
гружёный	сӧвтӧм
грузинский	грузин
грузовой	грузӧвӧй
губернаторский	губернатор
губернский	губернияса
гулевой	
гуманистический	гуманизм
гуманитарный	гуманитарнӧй
гусарский	гусар
гусельный	гусли
гусиный	дзодзӧг
гуцульский	гуцул
давленый	
дагестанский	дагестанса
дальнозоркий	
дамский	нывбаба
данный	
дарственный	
дательный	
датированный	кадпаса
дачный	дачаса
дверной	ӧдзӧс
двойной	
дворовый	
дворцовый	дворечса
дворянский	дворяна
двоюродный	воча
двуликий	
двуликий	
девонский	девон
девятикратный	ӧкмысысь
дежурный	
декадентский	декадент
делегатский	делегат
деликатесный	чӧскыд
деляческий	кӧнӧбой
демагогический	демагог
демографический	демография
демонстрационный	петкӧдлан
деморализованный	иприл.
дентальный	пиньбердса
деповский	депо
деповский	депоса
депутатский	депутат
деревянный	пуа
дерматиновый	дерматин
дерновый	эжа
дерновый	эжаа
десантный	десант
детский	
дефектный	тшыкӧм
джазовый	джаз
диалектический	диалектика
диалектный	сёрнисикаса
дизентерийный	мыт
диктаторский	диктатор
дипломированный	диплома
директивный	тшӧктана
директорский	директор
дирижёрский	дирижёр
дирижёрский	дирижируйтан
дисгармоничный	лӧсявтӧм
дисковый	гӧгыля
дискотечный	дискотекаса
диспетчерский	
дистиллированный	весалӧм
длинноватый	кузькодь
длинный	кузь
добавочный	содтӧд
доблестный	
доверенный	
договорный	сёрнитчан
дождливый	зэра
дозорный	
дозорный	видзӧдысь
доильный	лысьтысян
дойный	лысьтан
доказательный	эскӧдан
доклассовый	классӧдзса
доковый	докса
докторский	бурдӧдчысьӧн
долговой	уджйӧза
должный	
доломитовый	доломит
доменный	домна
домовитый	идӧра
допотопный	
допризывный	призывводзвывса
допросный	юасян
доцентский	доцент
доцентский	доцентлӧн
дошкольный	школаӧдзса
дощатый	пӧвъя
драконический	гундыр
драматургический	драматургия
драповый	драп
древесный	пу
дресвяный	дзимбыра
дровяной	пес
дрожжевой	рокӧс
дрожжевой	рокӧса
другой	
другой	мӧд
другой	
другой	мӧдтор
дубильный	дубитчан
дубовый	тупуа
дымовой	тшын
дырчатый	розьӧсь
дыхательный	лолалан
дятловый	сизь
евангелический	евангелльӧ
евангелический	бурвисьталан
евразийский	евразияса
еврейский	еврей
европейский	европаса
египетский	египетса
единовременный	ӧтпырся
единогласный	ӧтсӧгласа
ежевичный	ежевика
ежовый	ёж
ездовой	
езженый	
енотовый	енот
ершистый	
ершовый	йӧрш
жалоносный	чушкысь
жалостливый	
жареный	пражитӧм
жатвенный	вундан
жвачный	
желаемый	
желанный	
желательный	колан
желейный	лемӧга
желобчатый	воргаа
желудочный	кынӧм
жердевой	потша
жерновой	изки
жестяной	жӧч
жжёный	сотӧм
живой	
живой	олӧ
жилищный	олан
жилой	олан
жреческий	тун
журавлиный	тури
жёсткий	иперен.
забавный	тешкодь
забастовочный	бастуйтан
забивной	тувъялан
забитый	
забористый	
завлекательный	босьтчӧдан
заводной	заведитан
заводской	
завозный	вайӧм
загорелый	гожъялӧм
загородный	карсайса
заготовленный	вӧчӧм
заготовочный	вӧчан
заграничный	суйӧрсайса
загребной	
загребной	сынысь
загрузочный	сӧвтан
задавленный	
задолженный	уджйӧзалӧм
задорный	
задёрганный	
зажимный	топӧдан
зазвонистый	
зазубренный	
закалённый	иприл.
заключительный	бӧръя
законченный	
законченный	
закрытый	
закрытый	
закрытый	
закусочный	нуръясян
залежалый	
заливочный	кисьтан
зализанный	
замаскированный	
замороженный	
заморённый	
замочный	томан
замшевый	няр
занозистый	
занятый	
заозёрный	тысайса
заострённый	
заострённый	ёсь
запасный	содтӧд
запечный	пачсайса
запоночный	запанкиа
запретный	позьтӧм
запуганный	
запустелый	
запутанный	
запутанный	дзуг
запутанный	
заражённый	пӧрӧса
заразительный	
заревой	кыа
заржавленный	сімӧм
зародышевый	пытшпи
зарубежный	суйӧрсайса
засадный	кыйӧдчан
заселённый	
заскорузлый	
заслуженный	иприл.
заспанный	унзіль
застрахованный	страхуйтӧм
заступнический	доръян
затерянный	
заумный	гӧгӧрвотӧм
захирелый	
зачарованный	иприл.
зачётный	артӧса
зашейный	сьылісайса
защитительный	дорйысян(а)
защёчный	банбоксайса
звонковый	звӧнок
зевательный	очсалан
земельный	му
земноводный	
земной	му
земский	
зерновой	
злаковый	
злободневный	медколан(а)
злокачественный	лёк
злонамеренный	
змеистый	чукыльӧсь
знаковый	паса
знакомый	
знакомый	тӧдса
знакомый	
зодиакальный	зодиак
золотой	
золотушный	зӧлӧтукаа
зональный	зона
зональный	зонаса
зонтичный	
зоологический	зоология
зоотехнический	зоотехника
зрелищный	видзӧдан
зубастый	
зубатый	пиня
зубной	пинь
зубовой	пиня
игольный	ем
игорный	ворсан
игральный	ворсан
игровой	ворсан
идеалистический	идеалистическӧй
идентификационный	ӧткодялан
идеографический	гижӧдпаса
идеологический	идеология
идеологический	ловнуӧдан
идиотский	
иерархический	иерархия
избитый	иприл.
избранный	
избранный	
избранный	медбуръяс
избяной	керка
известковый	кориза
известный	
известняковый	кориз
извинительный	
извитый	
извращённый	
изжёванный	
изжёванный	
излечимый	бурдан
изломанный	иприл.
изменчивый	вежласян(а)
измызганный	
измызганный	
изнаночный	гугладор
изношенный	
изобразительный	
изодранный	
изолировочный	эжсян
изоляционный	эжсян
изорванный	
изорванный	розя
изъезженный	
изящный	
иконный	ӧбраз
икристый	пӧкъя
икряной	пӧкъя
илистый	нюйта
ильмовый	сирпуа
именинный	нимлунъя
именной	нима
императивный	тшӧктан(а)
империалистический	империалистическӧй
имперский	империяса
импульсивный	
инвалидный	инвалид
инвалидный	вермытӧм
ингаляционный	апалан
ингушский	ингуш
индейский	индееч
индийский	индияса
индикаторный	петкӧдчан
индоевропейский	индаевропаса
индонезийский	индонезияса
индустриальный	индустриальнӧй
инженерный	инженер
инициаторский	водзмӧстчан
инкрустированный	серӧдӧм
иной	
институтский	институтса
инструментальный	
интерпретаторский	гӧгӧрвоӧдан
информационный	юӧр
ипотечный	ипотекаса
иракский	иракса
ирландский	ирландса
искомый	
искомый	корсянтор
искромётный	
исландский	исландса
испанский	испанияса
исповедуемый	висьтасьысь
испольный	шӧриа
испорченный	иприл.
истасканный	
истовый	
истребительный	бырӧдан
истрёпанный	иприл.
июльский	сора
июльский	июльса
июньский	июньса
йодистый	йода
йодный	йод
йодный	йода
йоркширский	йоркширса
кабардинский	кабардаса
каверзный	
кавказский	кавказса
кадильный	кадилӧ
каждый	
казанский	казаньса
казарменный	казармаса
казахский	казах
казацкий	казак
казеиновый	казеин
казначейский	казначей
казначейский	казначейскӧй
казённый	казеннӧй
какой	
калийный	калий
калиновый	жовпу
калмыцкий	калмык
калорийный	окта
калориферный	калорифер
кальциевый	кальций
каменноугольный	изшом
каменный	изъя
камфарный	камфара
камышовый	камыша
канализационный	канализация
кандидатский	кандидат
каникулярный	каникул
канифольный	канифоль
каннибальский	
канцелярский	канцелярияса
капиталистический	капиталистическӧй
капитанский	капитан
капроновый	капрон
капсюльный	пистона
караванный	караван
каракалпакский	каракалпак
караковый	мугӧмсьӧд
каракулевый	каракуль
каракульский	каракуль
карандашный	карандаш
карантинный	карантин
карантинный	карантина
карасёвый	гыч
карельский	карел
карий	мугӧмсьӧд
каркасный	ывъя
карнавальный	карнавал
карнавальный	карнавалса
картинный	серпаса
картонный	картон
картотечный	картотекаса
картофельный	картупель
картофельный	картупеля
картёжный	картіасян
кассовый	касса
кассовый	касса
катерный	катерса
каузальный	помкаа
каучуковый	каучук
кафельный	кафеля
качельный	качайтчан
кашемировый	кашемир
каютный	каютаса
квартирный	квартираса
квитанционный	квитанция
кедровый	сус
керосинный	карасин
керосиновый	карасин
кетовый	кета
кинематографический	кинематография
кинетический	кинетика
кипарисовый	кипарис
кипятильный	пузьӧдчан
киргизский	кыргыз
кирзовый	кирза
кисейный	кисея
кисельный	кисель
кисельный	киселя
кислородный	кислород
кистозный	кистаа
китовый	кит
клавишный	поньтӧда
клапанный	лапӧд
классовый	классъяса
клеевой	лем
клееный	
клеильный	лемалан
клеистый	сира
клеёнчатый	клеёнка
клинический	клиника
клонированный	ӧтвужвуджӧдӧм
клопиный	лудік
клубный	клуб
клубный	клубса
ключичный	вотшлы
кляузный	
клёпочный	клепайтан
княжеский	ӧксы
ковбойский	ковбой
коверкотовый	коверкот
ковочный	дорччан
ковшовый	кӧша
кодировальный	кодируйтан
кодовый	код
козлиный	кӧза
коклюшечный	дзоль
коксовальный	кочуйтан
коксовый	коксуйтчан
колбасный	калбас
колдовской	керана
колебательный	вӧран
колеистый	воргаа
коленкоровый	калинкор
коленный	пидзӧс
количественный	лыда
коллекционный	коллекцияса
колокольный	жыннян
колонный	сюръяяса
колорадский	колорадоса
колхозный	колхоз
колхозный	колхозса
колченогий	
колыбельный	
кольцевой	кытш
кольчатый	кольчаа
колющий	
колющий	
комариный	ном
комбайновый	комбайн
комендантский	комендант
коммунальный	коммунальнӧй
коммуникабельный	сибыд
коммуникационный	йитчан
коммунистический	коммунистическӧй
комолый	сюртӧм
композиционный	тэчас
комсомольский	комсомол
конвейерный	конвейер
конвойный	конвойса
конвульсивный	черӧбталан
конгруэнтный	ӧткодь
конкретизированный	стӧчмӧдӧм
консалтинговый	туйдӧдан
конский	вӧв
конспиративный	гуся
конструкторский	конструктор
консульский	консул
континентальный	континентвывса
контурный	визьӧба
конфискованный	мырддьӧм
коньковый	ӧклупень
коньячный	коньяк
конюшенный	
кооперативный	кооператив
кооперативный	кооперативнӧй
копательный	кодъян
копировальный	копируйтчан
копотливый	
коптильный	тшынӧдан
копчиковый	виклеч
копчиковый	виклечса
копытный	гыжъя
корейский	кореяса
корзиночный	кӧрзинка
коричневый	перкаль
корпулентный	чуртчӧс
коррозионный	сіман
корыстный	
корякский	коряк
космический	космосса
костный	лы
костяной	лы
котлетный	котлет
котловинный	увтас
который	
крабовый	краб
крапчатый	чутӧсь
красильный	мичӧдчан
красноватый	гӧрдов
краткий	дженьыд
кратный	
крейсерский	крейсер
кремлёвский	кремль
кремлёвский	кремльса
кремниевый	кремний
кремниевый	кремния
крепдешиновый	крепдешин
крепколобый	
крепёжный	кутӧдан
кресельный	креслӧ
кресельный	креслӧса
кристаллический	измар
кристаллический	чиръяса
кровельный	вевттьысян
кровянистый	вира
кровяной	вир
кроильный	шӧрасян
кромешный	югдывлытӧм
кромочный	дорыш
кротовый	зымшыр
кроёный	шӧралӧм
круглосуточный	суткичӧжся
крутильный	гартан
крушинный	ошсэтӧр
крылатый	бордъя
крысиный	крыса
кубинский	кубаса
кубический	кубическӧй
кувшинный	кувшин
кудельный	зудӧс
кузнечный	дорччан
кукурузный	кукуруза
кулацкий	кулак
кулинарный	кулинария
кулуарный	гуся
кумачовый	кумач
кумыкский	кумык
купальный	купайтчан
купейный	купе
купейный	купеа
кургузый	
курдский	курд
курной	сьӧд
куропатковый	байдӧг
курортный	курорт
курортный	курортса
курсантский	курсант
курсивный	курсив
курсовой	курсса
курьёзный	тешкодь
кухонный	инпӧвса
лаборантский	лаборант
лавандный	лаванда
лавинный	чукӧра
лавочный	лавкаса
лавровый	лавр
лавсановый	лавсан
лагерный	лагерса
ладанный	ладан
ладный	
лайковый	няр
лакмусовый	лакмуса
лаковый	
лакский	лак
лактационный	лысьтан
лампадный	лампада
лаосский	лао
лапистый	
лапландский	лапландса
лапотный	нинкӧм
латинский	латин
латунный	латунь
латышский	латыш
лебедовый	пӧттурун
лебедовый	пӧттуруна
легкокрылый	
леденистый	йизьӧм
лезгинский	лезгин
лейтенантский	лейтенант
лекарственный	бурдӧдчан
лекторский	лектор
лемешный	амыся
лепестковый	сыръя
лесистый	вӧра
лесопарковый	вӧрпаркса
летальный	кулан
летательный	лэбалан
ливневый	сувтса
лигатурный	сораса
ликвидационный	бырӧдан
ликёрный	ликёр
ликёрный	ликёра
лиловый	гӧрдовлӧз
лиманный	лиманса
лимитный	лимит
линейчатый	визя
линовальный	визьйӧдлам
линованный	визьйӧдлӧм
линялый	
лиственничный	ниа
лиственный	коръя
литовский	литваса
литой	кисьтӧм
лицовочный	банӧдан
личной	чужӧм
лишайный	карс
лобовой	
логический	логика
лодочный	пыж
ложечный	пань
локтевой	гырддза
лосёвый	йӧра
лотерейный	лотерея
лоханочный	лӧкань
лоцманский	нӧсник
лубовый	нин
лубовый	кач
лучезарный	
лучковый	вуджъя
львиный	лев
людской	йӧз
люковый	мур
лютеранский	лютеран
ляписный	ляпис
ляписный	ляписа
лёгочный	ты
магистральный	шӧр
магнитный	магнита
магнитофонный	магнитофон
мадригальный	ошкан(а)
мадьярский	мадьяр
маисовый	маис
майорский	майор
майский	майся
маклерский	сёрнитчӧдан
малопитательный	пӧтӧстӧм
малярийный	малярия
мамонтовый	мамонт
мандатный	мандат
маникюрный	маникюр
мансийский	йӧгра
марганцовый	марганеча
марийский	мари
маринованный	маринуйтӧм
маркизетовый	маркизет
маркировальный	пасъялан
марлевый	марля
маршальский	маршал
маршировочный	маршируйтан
масличный	выйдан
массажный	зыралан
мастеровой	
маститый	
математический	математика
материковый	материк
материнский	петан
матерчатый	дӧра
матрасный	вольпась
матричный	лу
матросский	матрос
матросский	матрос
махорчатый	
машистый	
маятниковый	кывъя
маячный	маяк
мебельный	мебель
медальный	медальса
медистый	ыргӧна
медицинский	медицина
медленный	ньӧжмыд
межбанковский	банккостса
межбиблиотечный	библиотекакостса
междуведомственный	ведомствокостса
междугородный	каркостса
межевой	
межзвёздный	кодзувкостса
межнациональный	войтырпӧвстса
межпланетный	планетакостса
межрегиональный	регионкостса
межрёберный	ордлыкостса
межсоюзный	ӧтувкостса
мездровый	дыж
мелководный	ляпкыд
мемориальный	казьтылан
мериносовый	меринос
мерительный	мурталан
меркантильный	
местоимённый	нимвежтаса
метеоритный	енэжиз
метеорологический	метеорология
меховой	ку
мешкотный	
мигреневый	
миленький	
милиционерский	милиционер
милостивый	
минералогический	доніз
минный	мина
мировоззренческий	видзӧдласа
мирской	
мирской	ӧксьӧм
миткалевый	миткаль
мичманский	мичман
множественный	уна
мобилизационный	мобилизуйтан
мозаический	мозаика
мокротный	шыжа
мокшанский	мокша
молекулярный	молекула
моллюсковый	лёльӧ
молодой	
молотый	изӧм
молоченый	вартӧм
монархистский	монархист
монастырский	манастырса
монашеский	манак
монгольский	монгол
монетный	сьӧм
монополистический	монополистическӧй
монтажный	тэчан
мордовский	мордва
моржовый	морж
морозильный	кынтан
морозный	кӧдзыд
морфологический	морфология
мостовой	пос
мотивировочный	подулалан
мохеровый	мохер
мочалистый	бонзьӧм
мочевой	кудз
мочеполовой	
мошоночный	тобонь
мудрёный	
мундирный	мундирса
муниципальный	муниципалитетса
муравленый	лӧстӧдӧм
муравьиный	кодзувкот
мускулистый	сӧнӧд
мусорный	ёг
мусульманский	мусульман
мутоновый	мутон
мушиный	гут
мыслимый	
мягкотелый	
набедренный	лядьвейвывса
наветренный	тӧвладор
навозный	
нагой	
нагрузочный	сӧвтан
надувной	пӧльтан
надутый	
надутый	польдчӧм
называемый	шусян(а)
найденный	
найденный	сюрӧмтор
наколенный	пидзӧсвывса
налитой	
налоговый	вот
намогильный	гувывса
намётанный	
наплевательский	
наполненный	
нарзанный	нарзан
нарицательный	нима
нарукавный	сойвывса
национальный	войтырсикас
нашатырный	нашатыр
неадекватный	
невиновный	мыжтӧм
невооружённый	оружьетӧм
невылазный	
невыносливый	ляб
недействительный	туйтӧм
недельный	вежонся
недисциплинированный	кывзысьтӧм
недовершённый	помавтӧм
недорогой	донтӧм
недосученный	лаб
недружный	сӧгластӧм
незадачливый	
незамедлительный	нюжӧдтӧм
незамысловатый	прӧстӧй
незаразный	вуджтӧм
незаурядный	торъялан(а)
незваный	кортӧм
незнакомый	
неисследованный	туявтӧм
некий	
некорректный	вежавидзтӧм
некоторый	
неладный	
нелегальный	гуся
нелёгкий	сьӧкыд
немецкий	немеч
ненаучный	туявтӧм
ненецкий	яран
неоплатный	
неосмотрительный	видзчысьтӧм
неосознанный	вежӧрттӧм
непогрешимый	
непорочный	
непочтительный	вежавидзтӧм
непреложный	
непреложный	
непреложный	
непривычный	велавтӧм
неприемлемый	лӧсявтӧм
неприкаянный	
неприкаянный	
непрошеный	кортӧм
неразумный	
нерастворимый	сывтӧм
нерациональный	тӧлктӧм
нерифмованный	муртӧстӧм
несгораемый	сотчытӧм
нескользкий	дзурыд
несминаемый	чукрасьтӧм
несоразмерный	лӧсявтӧм
неспорый	
несчастливый	шудтӧм
