aakkosellinen	alfabehtalaš
hieno	fiinnis
hienojakoinen	
hihaton	soajeheapme
hikoileva	bivastuhkes
hiljainen	jaskat
hiljainen	hillján
hillitön	garppas
himmeä	deavkat
himokas	himolaš
himokas	anistuhkes
himoton	himuheapme
hirmuinen	harbmat
hirveä	hirbmat
hirveä	issoras
historiallinen	historjjálaš
hoikka	seaggi
homoseksuaalinen	homoseksuála
houkkaava	dádjolas
huima	vilddas
huithapeli	rampi
hullu	jalla
hullu	dáddju
humanistinen	humanisttalaš
huolellinen	fuolalaš
huolimaton	fuollameahttun
huoliteltu	smolgat
huomattava	mearkkašahtti
huominen	ihttá
huomionarvoinen	fuomášanveara
huono	headju
huono	heittot
huono	fuotni
huono	fasti
huono	neavri
huonojalkainen	juolggeheapme
huonokuntoinen	silli
huonovointinen	veajuheapme
huonovointinen	eahpeveaddji
hupa	hohppil
hurja	vilddas
hurskas	hurskkis
huvittava	hearvái
hyllyvä	dilddas
hyvä	buorre
hyväksyttävä	dohkálaš
hyväkuntoinen	sávri
hyvänmakuinen	njálggis
hyvätapainen	šiega
hyväuskoinen	jáhkkil
hyödyllinen	ávkkálaš
hyökkäävä	vuovdnái
hädänalainen	heađálaš
hädänalainen	heahtahaš
häikäilemätön	deasttaheapme
häiritsevä	unohas
hämärä	veaigi
häpeällinen	heahpatlaš
hätiköivä	riššui
hätäilevä	dirbbot
hävytön	heaboheapme
hölösuinen	beavkálas
hössöttävä	duđđalas
idealistinen	idealisttalaš
identtinen	ideanttalaš
ideologinen	ideologalaš
ihana	hearvás
ihanteellinen	optimála
ihastunut	ilolaš
ihmeellinen	imaš
ihmeellinen	imašlaš
ikivanha	áigahaš
ikivihreä	áloruonas
ikuinen	agálaš
ikäinen	ahkásaš
ikäinen	ahkahaš
ikävä	váivi
ikävä	ahkit
iljettävä	fasti
ilkeä	árvvoheapme
illallinen	eahkedaččat
ilmainen	nuvttá
ilmeinen	čalmmus
iloinen	ilolaš
iltainen	eahkedaš
imelä	meađggus
inhimillinen	olmmošlaš
inhottava	stukkis
innokas	movttet
intialainen	indialaš
irtain	luovus
irtonainen	luovus
irvistävä	njeaccas
islamilainen	islámalaš
islantilainen	islándalaš
iso	stuoris
isokahvainen	nađđii
isokokoinen	goakŋit
isokorvainen	bealljái
isokylkinen	siidui
isonaamainen	muhttui
isopyllyinen	čurttas
isopyllyinen	čurtái
isotissinen	čižžái
isä	áhčči
isällinen	áhčálaš
italialainen	italialaš
itkunherkkä	eavas
itkunherkkä	čirrolas
itsenäinen	iešheanalaš
itsepintainen	ihcaveaiddat
itsepintainen	ihcaválddat
itäisempi	lulit
itäisempi	nuorttat
itäisin	nuorttamus
itäisin	lulimus
itämainen	nuortaeatnanlaš
itämerensuomalainen	nuortamearasuopmelaš
iäkäs	eallilan
jaaritteleva	dálsái
jalo	vuoiggalaš
jaollinen	jugolaš
japanilainen	japánalaš
jatkuva	bissovaš
jauhoinen	jáffui
johdonmukainen	jearggalaš
johtava	njunuš
joikaavainen	juoigalas
jokapäiväinen	beaivválaš
jollainen	makkár
jonkinlainen	juogalágan
joustava	dávggas
joutava	joavdelas
joutilas	joavdelas
joutuisa	gerges
juhlallinen	allaáiggálaš
julkinen	almmolaš
julkinen	jolggalaš
julma	julbmi
jumalainen	ipmillaš
jumalallinen	ipmila
jumalattoman	ipmilhis
juokseva	viehkki
juoksevainen	viehkalas
juonikas	judnii
juotava	jugahahtti
juovikas	stáhppái
juridinen	juridihkalaš
juutalainen	juvdálaš
jylhä	rámššas
jymy	joahca
jyrkkä	ceakkus
jähmeä	sahpit
jäinen	jiegŋái
jälkimmäinen	maŋimus
jännittävä	gelddolaš
jännittävä	čearggus
järeä	šumppas
järjellinen	jierpmálaš
järjellinen	jierbmái
järjestelmällinen	systemáhtalaš
järjetön	jierpmeheapme
järkevä	jierbmái
järkevä	jearggalaš
järvetön	jávrreheapme
jäykkä	gušmmus
jääkylmä	ráttas
jäätikköinen	jiehkkái
jäätön	saŋas
jäävi	inhabiila
kaareva	geavllas
kahdeksas	gávccát
kahdenkeskinen	bilaterála
kahdenlainen	guovttelágan
kaikenlainen	juohkelágan
kaikenlaiset	juohkelágan
kaikki	visot
kaikkivaltias	buotveagalaš
kailottava	šeabmái
kaino	uidni
kaksikerroksinen	guovttegearddaš
kaksikielinen	guovttegielat
kaksikielinen	guovttegielalaš
kaksinkertainen	guovttegeardán
kaksisuuntainen	guovtteguvllot
kalaton	guoleheapme
kalju	báljis
kallis	divrras
kaltainen	láhkásaš
kalteva	hálu
kalvakka	ivnneheapme
kamala	issoras
kampa	čohkun
kannattava	gánnáhahtti
kansainvälinen	riikkaidgaskasaš
kansainvälinen	gaskariikkalaš
kansallinen	našuvnnalaš
kansallinen	nationála
kansallinen	našunála
kansallinen	álbmotlaš
kansallinen	náššuvnnalaš
kansallinen	nášuvnnalaš
kansallismielinen	nationalisttalaš
kansanomainen	álbmotlaš
kantava	nanus
kapea	gárži
kapearaiteinen	seakkaluottat
kapinallinen	stuibmideaddji
kapitalistinen	kapitalisttalaš
kappa	gabba
kappi	jocca
karhea	roakkas
karhea	ruohtis
karikkoinen	bođđui
karjalainen	gárjilaš
karkea	roavis
karski	gušmmus
karstainen	skárttas
karu	šattoheapme
karvainen	guolgái
karvakulu	skoarras
karvas	bahča
karvas	civzza
kasteinen	suoldnái
kasvava	šaddi
kasvi	šaddu
kasvitieteellinen	šaddodieđalaš
kasvitieteellinen	botanihkalaš
katala	gávvil
katala	behtolaš
katala	guoktilaš
kateellinen	riidálas
katkera	bahča
katolilainen	katolalaš
katolinen	katolalaš
kattava	ollislaš
kattava	gokči
katuva	gáhtavaš
kauhea	gáfat
kauhistuttava	suorggatlaš
kaukainen	gáiddus
kaunis	čáppat
kaunis	čáppis
kaunis	čába
kaunokirjallinen	čáppagirjjálaš
kaupallinen	gávppálaš
kehittynyt	searalaš
kehittynyt	veađar
kehitys	gárggiideapmi
kehitysvammainen	bázahallan
kehno	heittot
keisarillinen	keaisárlaš
kekseliäs	hutkái
kekseliäs	hutkkálaš
kellertävä	fiskeslágan
kelluva	govdu
keltahko	fiskeslágan
keltainen	fiskat
kelvollinen	dohkálaš
kelvollinen	gustojeaddji
kelvollinen	dohkálaččat
kelvollinen	gelbbolaš
kemiallinen	kemiijalaš
kerkeäkielinen	sádnái
keskeinen	guovddáš
keskeneräinen	gaskan
keskiaikainen	gaskaáigásaš
keskikokoinen	gaskamahtosaš
keskimmäinen	gaskkamus
keskimääräinen	gaskamearálaš
keskinkertainen	gaskageardán
keskivertainen	gaskamearálaš
keskusta	guovddáš
kestävä	nanus
kestävä	sávri
kesyttämätön	dámakeahtes
ketterä	geabbil
ketterä	vealit
keuhko	geahpis
keveä	geahpas
kevyt	geahpas
kielellinen	gielalaš
kieliopillinen	grammatihkalaš
kielitieteellinen	gielladieđalaš
kielletty	gielddus
kielletty	buorggos
kielteinen	gieldi
kiharainen	smarvái
kiihkeä	arat
kiikkerä	juorbbas
kiikkerä	juorbbehas
kiikkerä	jurbolas
kiikkerä	bállir
kiiltävä	šealgat
kiiltävä	gearrat
kiinalainen	kiinnálaš
kiinnostava	beroštahtti
kiinnostunut	berošteaddji
kiinteä	giddat
kiireellinen	hohpolaš
kiireetön	dilálaš
kiireetön	šiehtun
kiireinen	asttuheapme
kiivas	moarrái
kilkattava	skiŋgil
kiltti	šiega
kiltti	siivui
kipeä	bávččas
kireä	čavgat
kireälypsyinen	rávddis
kirjallinen	čálalaš
kirjava	girjái
kirjava	girjjat
kirjoittamaton	čálekeahtes
kirkas	šearrat
kirkas	čeaskat
kirkastaa	hearvás
kirkkaanvärinen	ođđaivnnálaš
kirkollinen	girkolaš
kitkerä	bahča
kitkerä	rihča
kitsas	snoakkis
kitsas	coazzi
kiva	somá
kivinen	geađgái
kivulias	bávččas
kivuton	bávččaskeahtes
klassinen	klassihkalaš
kliininen	klinihkalaš
kohmeinen	čoaŋkkas
kohtalainen	govttolaš
kohtalokas	várálaš
kohtalokas	vuorbbálaš
kohtelias	olmmošlaš
kohtisuora	beanta
kohtuullinen	govttolaš
kohtuullinen	muttolaš
koivuinen	soahkkái
kokeellinen	eksperimentála
kokenut	oahppan
koko	ollis
koko	oppa
kokonainen	ollis
kokonainen	oppa
kolea	goalššas
kolkka	mohkki
kolkko	ruojus
kolkko	gávkkas
kollektiivinen	kollektiiva
kolmas	goalmmát
kolmiosainen	golmmaoasat
kolmivuotias	golmmajahkásaš
kolmivuotinen	golmmajahkásaš
komea	hámálaš
kommunistinen	kommunisttalaš
konkreettinen	konkrehta
konkreettinen	konkrehtalaš
kookas	boaddit
kookas	stulkkas
koominen	komihkalaš
korea	goarrat
korealainen	korealaš
koristeellinen	hearvái
koristeellinen	čiŋahuvvon
korkea	allat
korkeatasoinen	alladássásaš
korkuinen	allosaš
koskevan	gustovaš
koskinen	guoikái
kotoinen	ruovttulágan
kotoisin	eret
koukkaileva	roahkkalas
kova	garas
kovapäinen	oahppameahttun
kovasydäminen	goavis
kranttu	kránto
kreikankielinen	greikkagielalaš
kreikkalainen	greikkalaš
kriittinen	kritihkalaš
kristillinen	risttalaš
kristillinen	kristtalaš
krooninen	kronalaš
kruunuinen	ruvdnosaš
kuhmuinen	guvhllas
kuhnaileva	duđđalas
kuihtunut	golnnas
kuiva	goikkis
kukkurainen	čomas
kuljeskeleva	vázzálas
kulloinenkin	guhtege
kulmikas	máŋggačiegat
kultainen	gollas
kultainen	gollái
kulttuurillinen	kultuvrralaš
kulttuurinen	kultuvrralaš
kulunut	gollan
kummallinen	ártet
kummallinen	imaš
kuninkaallinen	gonagaslaš
kunnallinen	suohkanlaš
kunnianhimoinen	gudneáŋgir
kunnollinen	ávda
kunnon	albma
kunnon	endena
kuohuva	boršui
kuolaava	soalssas
kuolaava	soalsái
kuolainen	soalssas
kuolainen	soalsái
kuolema	jápmin
kuolematon	jápmemeahttun
kuolettava	goddi
kuoleva	jábmi
kuolevainen	jámolaš
kuollut	jápmán
kuoppainen	roggái
kuoppainen	gohppái
kupera	čomas
kuriton	stivrraheapme
kurja	ussel
kurokaulainen	faŋkkas
kurttuinen	davrras
kurttuinen	snorras
kutistunut	jánas
kuudes	guđát
kuukausittainen	mánnosaččat
kuuluisa	beakkán
kuuluisa	gerolmas
kuuluva	gullevaš
kuuma	báhkas
kuuro	bealjeheapme
kuvaava	govvideaddji
kuvitteellinen	govahallon
kyhmyinen	uddui
kykkivä	nollas
kylläinen	gallás
kylmä	galmmas
kylmä	čoaskkis
kylmänarka	oardnji
kylmänarka	oartnjas
kyläläinen	gillilaš
kymmenes	logát
kymmenys	logádat
kypsä	givssas
kyseenalainen	jearaldatvuloš
kyseinen	guoskevaš
kyssäniskainen	guppas
kyvykäs	searra
kyykistelevä	čeakŋas
käheä	siđas
käheä	sieđas
käheä	sieđus
käheä	siđus
kärsivällinen	gierdavaš
kärsivällinen	gierdil
käräjöivä	diggojahkes
kätevä	anolaš
kätketty	čiegus
käyrä	gavvar
käytettävä	atnámuš
käytteliäs	adni
käyttökelpoinen	anolaš
käytännöllinen	praktihkalaš
käytännöllinen	geavatlaš
kääntymätön	jorgalmeahttun
kömpelö	čuorbi
köyhä	geafi
köyhä	geaffi
köyry	givrras
köyry	goavrras
laaja	viiddis
laajahko	viiddisis
laajuinen	viidosaš
laajuinen	viiddu
laakea	duolbbas
laaksoinen	leahkkái
lahjakas	vitmat
laho	suosttas
laiha	ruoinnas
laikukas	báikkolaš
laillinen	lobálaš
laillinen	lágalaš
laiska	láiki
laiskanpulskea	šloaŋggas
laiton	lobiheapme
lannoittamaton	veagaheapme
lappalainen	sápmelaš
lapseton	mánáheapme
lastuinen	smáhkkui
latinalainen	latiinnalaš
latuska	speažži
latuskarintainen	speaččas
lauha	bivval
lauha	smiđis
lauhkea	liehmus
laukkova	ruohttalas
lehtevä	lastái
leikkisä	skálžžár
leikkisä	duhkorahkes
leikkisä	duhkordallalas
lempeä	láđis
lentelevä	girdálas
lestadiolainen	lestadiánalaš
leuto	bivval
leveä	govdat
leveäharteinen	hárdui
levollinen	oahccái
levollinen	oahcit
levoton	mášoheapme
levyinen	govdosaš
leväperäinen	suosttas
leväperäinen	stoaljas
liantunteva	duolvalas
liantunteva	duolvil
liha	biergu
lihakas	birgui
lihaksikas	deahkkái
lihallinen	oaččálaš
lihava	buoidi
liiallinen	liiggálaš
liikkuva	johtti
liinava	vuoksái
liinava	vuoksul
likainen	duolvvas
limainen	njivlái
liotettu	luvas
litteä	duolbbas
litteä	steaččas
litteänaamainen	duorššas
liukas	njalkkas
liukas	njaláhas
lohdutettava	jeđđehahtti
lohenpunainen	goaidi
lohtuisa	jeđđehahtti
loistava	báitil
loistava	báitevaš
loistelias	báitevaš
loiva	njoaiddus
looginen	logalaš
lopullinen	loahpalaš
lounainen	oarjelulli
luettava	logus
luiseva	skirččas
luistamaton	jođiheapme
luistamaton	jođuheapme
luja	nanus
lukematon	lohkameahttun
lukuisa	eatnatlohkosaš
luonnollinen	lunddolaš
luonnontieteellinen	biologalaš
luonnontieteellinen	luonddudieđalaš
luonnontilainen	luonddudilálaš
luonnonvarainen	luonddusealli
luontainen	lunddolaš
luontainen	iežaddiluvvon
luonteenomainen	lunddolaš
luonteva	lunddolaš
luoteinen	oarjedavvi
luotettava	luohtehahtti
luotettava	luohttevaš
luotettava	badjeliiluohtehahtti
luova	kreatiiva
luterilainen	luhteránalaš
luvallinen	lobálaš
lyhyt	oanehaš
lyhyt	oatni
lyhytaikainen	bisttiheapme
lyhythihainen	soajeheapme
lyhytikäinen	agiheapme
lypsettävä	bažihahtti
lypsämätön	bažekeahttá
lyyrinen	lyralaš
läheinen	lagas
läheinen	lagaš
lähempi	lagabui
lähimmäinen	lagamuš
lähin	lagamus
lähin	lagamuš
lähtevä	vuolgi
lämmin	liekkas
länkisäärinen	reavrras
länkisäärinen	reavvas
länsimainen	oarjeriikkaid
läntisempi	oarjjit
läntisin	veasttamus
läntisin	veasttamuš
läpimärkä	njarttas
lättänaamainen	duorššas
lääketieteellinen	medisiinnalaš
lääketieteellinen	dálkkasdieđalaš
lääkkeellinen	dálkkaslaš
löntystävä	loarffas
löyhkä	čuvdda
löyhä	loažžat
löysä	loažžat
maaginen	magihkalaš
maailmallinen	máilmmálaš
maailmanlaajuinen	máilmmiviidosaš
maakunnallinen	eanangottálaš
maallinen	eatnanlaš
maanalainen	eatnanvuloš
maankattava	riikkaviidosaš
maanpäällinen	eatnanlaš
maantieteellinen	geográfalaš
magneettinen	magnehtalaš
mahdollinen	vejolaš
mahdollinen	máŧolaš
mahdollinen	sáhtehahtti
mahdoton	veadjemeahttun
mahlainen	máihlái
mahtava	fámolaš
maineikas	beakkán
maineikas	beakkálmas
mainio	válljugas
mainittava	máinnašan
maittava	ásppas
makea	njálggat
makeinen	njálggis
maksettava	máksámuš
maltillinen	loavdi
malttavainen	máššil
mannermainen	nannáma
marjava	muorjái
masentunut	dorvvuheapme
matala	vuollegaš
matala	coagis
matemaattinen	matematihkalaš
mekaaninen	mekánalaš
mekaaninen	mekanihkalaš
melkoinen	oalle
meluisa	jullái
menestyksekäs	menestuvvi
merkitsevä	dehálaš
merkitsevä	deaŧalaš
merkittävä	fuopmášahtti
merkityksellinen	mearkkašahtti
merkityksetön	mearkkašmeahttun
metsä	meahcci
metsäinen	vuovdái
miehekäs	almmáilaš
miehinen	olmmái
mielekäs	govttolaš
mielekäs	jierpmálaš
mielenkiintoinen	miellagiddevaš
mielivaltainen	mielaevttolaš
miellyttävä	hávski
mieltynyt	eahccil
mieluinen	miellasaš
mies	olmmái
miespuolinen	olmmái
mieto	liekkus
mietteliäs	smiehttalas
minkäänlainen	makkárge
mittava	viiddis
mitätön	fámoheapme
moderni	ođđaáigásaš
moinen	dakkár
moittivainen	láitálas
monelainen	máŋggalágan
monenlainen	iešguđetlágan
monikulttuurinen	máŋggakultuvrralaš
monimutkainen	mohkkái
monimutkainen	mohkkát
moninainen	máŋggalágán
moninkertainen	máŋggageardásaš
monipuolinen	máŋggabealat
monivuotinen	máŋggajahkásaš
moraalinen	morálalaš
muinainen	dološ
mukava	somá
mukava	suohtas
mukava	smáđáhkes
mulkoileva	jabbolas
mullistava	jorgalusdahkki
multainen	muolddas
multava	muldui
multava	muoldái
muodollinen	formálalaš
muodollinen	formála
mureneva	mollui
murentunut	molddas
murhanhimoinen	sorpmálaš
musta	čáhppat
mustasukkainen	balahahkes
mustavalkoinen	čáhppesvielgat
mutkikas	mohkkái
muukalainen	vierroolmmoš
muunlainen	earálágán
muuttuva	rievdil
myrkyllinen	mirkkolaš
myrskyisä	riđđui
mystinen	mystihkalaš
myöhä	maŋŋit
myöhäinen	maŋŋit
myönteinen	positiiva
myönteinen	miehtemielalaš
mäkinen	luohkkái
märkä	njuoskkas
märkä	gásttas
mätä	guohca
määrätietoinen	ulbmillaš
määräävä	mearrideaddji
nainen	nisson
naseva	deaivil
nasta	nástá
negatiivinen	negatiiva
negatiivinen	negatiivvalaš
nelinkertainen	njealjegeardásaš
neljäs	njealját
nerokas	geniála
neuvokas	ráđálaš
neuvostoliittolainen	sovjetlihttulaš
neva	jeaggi
nimekäs	beakkán
nimellinen	nominála
nimetön	namaheapme
niminen	nammasaš
niukka	snoakkis
niukka	knáhpis
niveljalkainen	lađasjuolggat
nokinen	gohččui
nopea	jođán
nopea	johtil
nopea	falli
nopeakasvuinen	šaddi
nopeakasvuinen	šaddil
nopsa	jođán
norjalainen	norgalaš
norjalainen	dárrolaš
norjankielinen	dárogielat
norjantaitoinen	dárrolaš
nuhainen	nurvui
nuoraton	oaraheapme
nuori	nuorra
nuriseva	nuvvalas
nykyaikainen	dáláš
nykyaikana	dánáigge
nykyinen	dáláš
nykyään	dánáigge
nyyhkyttäväinen	hiŋkálas
näennäinen	gáddojuvvon
nähtävä	oaidnámuš
näkevä	oaidni
näkymätön	oaidnemeahttun
näkyvä	oainnus
näkö	oaidnu
näköinen	hápmásaš
nälkäinen	nealggas
nälkäinen	nealgái
näyttävä	čájeheaddji
objektiivinen	objektiivvalaš
oheinen	mielčuovvu
ohut	seaggi
ohut	asehaš
oikea	riekta
oikea	albma
oikea	olgeš
oikea	rievttes
oikeaoppinen	rivttesoahpalaš
oikeistolainen	olgešbealeolmmoš
oikeudellinen	vuoigatvuođalaš
oikeudenmukainen	vuoiggalaš
oikeustieteellinen	vuoigatvuođadieđalaš
oikukas	luktui
oksaton	oavsseheapme
oleellinen	deaŧalaš
olennainen	deaŧalaš
oma	oapmi
omahyväinen	oamivánhurskkis
omalaatuinen	iešlágálaš
omantunnonarka	oamedovddolaš
omaperäinen	originála
omavaltainen	ihcaveaiddat
omavaltainen	ihcaválddat
omavaltainen	váldái
ominainen	mihtilmas
omintakeinen	iešlágálaš
omituinen	ártet
ongelmallinen	problemáhtalaš
onnellinen	lihkolaš
onneton	lihkoheapme
onneton	lihkuheapme
ontto	guovnnjas
oppimaton	oahppameahttun
oppinut	oahppan
oppivainen	oahppil
optinen	optihkalaš
oranssi	oránša
orgaaninen	orgánalaš
ortodoksinen	ortodoksa
osaava	čeahppi
osakas	servvolaš
osallinen	servvolaš
osuva	deaivil
otollinen	heivvolaš
ottava	čađahit
outo	ártet
ovela	gávvil
ovela	klovkken
p.a.	ruđaheapme
paha	bahá
paha	vearrái
pahamaineinen	bahábeakkálmas
pahanmakuinen	bahča
pahoinvoiva	moiddas
paikallinen	báikkálaš
paikoittainen	báikkolaš
paimentamaton	veaittalas
painanteinen	gohppái
painava	lossat
painoinen	losu
pakanallinen	báhkinlaš
pakkanen	buolaš
pakollinen	bákkolaš
paksu	buoidi
paksu	gassat
paksu	assái
paksuinen	assosaš
paksurunkoinen	galdái
palamaton	buoloheapme
palava	buollevaš
palava	buolli
palelevainen	gollolas
paljas	álás
paljo	eatnat
pallovatsainen	rinzzas
paras	buoremus
paraskin	bárrahaš
parempi	áđat
parhain	buoremus
parillinen	báralaš
pariton	báraheapme
parka	riehpu
parlamentaarinen	parlamentáralaš
partio	patrulla
passiivinen	passiiva
paukkuva	beaški
pedagoginen	pedagogalaš
pehmennyt	šlinzzas
pehmeä	linis
pehmeä	dimis
pelkkä	dušše
pelkääväinen	ballevaš
pelokas	árgi
pelokas	ballalas
peloton	jállu
peloton	baluheapme
peloton	givas
periaatteellinen	prinsihpalaš
perimmäinen	maŋimuš
perinnöllinen	árbejuvvon
perinnötön	árbbeheapme
perinteinen	árbevirolaš
perso	váibmil
persoonallinen	persovnnalaš
perusteellinen	vuđolaš
perustuslaillinen	vuođđolágalaš
peräkkäinen	maŋŋálas
petollinen	njihtalas
pidättelevä	doaladahkes
pieni	unni
pieni	smávis
pieni	uhcci
pieni	geasoheapme
pienikokoinen	šiehttil
pienisiipinen	soajeheapme
pierekeleväinen	buskolas
piikikäs	biikái
pikimusta	spiertačáhppat
pikkuinen	smávis
pila	hilbošeapmi
pilaantunut	guohca
pilaantunut	riebas
pilvetön	jalahas
pilvinen	balvái
pimeä	seavdnjat
piru	neavri
pirullinen	birolaš
pisin	guhkimus
pitkulainen	guhkedáleš
pitkä	guhkki
pitkäaikainen	guhkesáigásaš
pitkäaikainen	bistil
