абсолютнӧй	абсолютный
гӧрд	рыжий
гӧрд	румяный
гӧрдвиж	рыжий
гӧрдов	красноватый
гӧтыра	женатый
гӧтӧвӧй	готовый
дась	начеку
дедъясдырся	дедовский
действительнӧй	действительный
декретнӧй	декретный
дельнӧй	дельный
делӧвӧй	деловой
демократическӧй	демократический
деревняса	деревенский
десятичнӧй	десятичный
десятскӧй	десятский
джуджда	послелог
джынъявтӧм	непочатый
дзерӧдан	нервный
дзерӧдана	нервный
дзолядырся	детский
дзоньвидза	здоровый
дзувкӧс	изворотливый
дзурыд	скрипучий
директивнӧй	директивный
довкӧс	покосившийся
договора	договорный
договорнӧй	договорный
доддя	запряжка
доддявлытӧм	неезженый
должностнӧй	должностной
дона	богатый
донтӧм	малоценный
донӧдтӧм	незакалённый
донӧдтӧм	необожжённый
допризывнӧй	допризывный
дорса	крайний
дошлӧй	проворный
дружелюбнӧй	дружелюбный
дружественнӧй	дружественный
дружнӧй	дружный
дубыд	безвкусный
дубӧвӧй	дубовый
дугдывтӧм	неустанный
дугдывтӧм	неуклонный
дугӧдлытӧм	безостановочный
дудан	норовистый
дудан	застойный
дука	пахучий
дулльӧсь	слюнявый
духовнӧй	духовный
дьӧгӧдя	дегтярный
дэбыд	тёплый
дюж	дюжий
дюж	выносливый
дівывса	островной
дӧверяйттӧм	недоверчивый
дӧвӧльнӧй	довольный
дӧвӧльнӧй	благодушный
дӧзмӧдтӧм	безобидный
дӧзьӧра	ухоженный
дӧмаса	подшитый
енэжувса	поднебесный
жандармскӧй	жандармский
жборган	журчащий
жеб	скудный
жер	оскаленный
жугъя	мякинный
заботлив	заботливый
завиднӧй	завидный
зависимӧй	зависимый
заграничнӧй	заграничный
заднӧй	задний
заказнӧй	заказной
законнӧй	законный
замечательнӧй	замечательный
запаслив	запасливый
зарниа	золотистый
зарубежнӧй	зарубежный
зарядка	зарядка
заслуженнӧй	заслуженный
застой	застой
збодер	бодрый
збодер	статный
збодер	гордый
звукӧвӧй	звуковой
звӧйкъя	цуговой
здоров	полезный
здукся	минутный
зернӧвӧй	зерновые
зондырся	отроческий
зумыд	упругий
зумыд	серьёзный
зумыд	твёрдый
зуркыд	тряский
зэлыд	тугой
зэлыд	тесный
зэра	дождливый
зэра	дождевой
игана	запирающийся
идеалистическӧй	идеалистический
идейнӧй	идейный
идеологическӧй	идеологический
идравтӧм	неубранный
идравтӧм	неприбранный
идӧртӧм	безалаберный
изйӧсь	каменистый
измерительнӧй	измерительный
илӧсь	илистый
именнӧй	именной
инан	ходовой
инасьлытӧм	непоседливый
инасьлытӧм	мятежный
инасьтӧм	непристроенный
индивидуальнӧй	индивидуальный
индустриальнӧй	индустриальный
иностраннӧй	иностранный
интеллигентнӧй	интеллигентный
интереснӧй	интересный
интернациональнӧй	интернациональный
искусственнӧй	искусственный
исполнительнӧй	исполнительный
исправнӧй	исправный
испытаннӧй	испытанный
историяӧдзса	доисторический
ичиньводз	неродной
ичӧтик	незначительный
йиа	ледяной
йӧзкостса	народный
йӧнгыльӧсь	комковатый
йӧёват	глуповатый
кагадырся	младенческий
кадъя	заболоченный
кажитчана	любимый
казеннӧй	казённый
каменнӧй	каменный
кампарнӧй	камфарный
каникулдырся	каникулярный
капиталистическӧй	капиталистический
караульнӧй	караульный
карбердса	пригородный
каркостса	международный
карсайса	загородный
картинавывса	картинный
катаргавывса	каторжный
каторжнӧй	каторжный
квалификацияа	квалифицированный
квартальнӧй	квартальный
керкапытшкӧсса	домашний
кивывса	наличный
кивывся	наличный
кизя	застёгнутый
кийыв	ручной
килограмма	килограммовый
кипода	искусный
киссян	сыплющийся
киссян	осыпающийся
киссян	выпадающий
киссян	распадающийся
киссян	разрушающийся
киссян	заливистый
китрӧй	хитрый
классӧвӧй	классовый
клея	клеёный
климатическӧй	климатический
клящӧй	сильный
коддзӧдтӧм	безалкогольный
коддзӧма	опьяневший
кодзтӧм	некастрированный
кодзула	звёздный
кодзулӧсь	звёздный
козина	подарочный
козъя	еловый
койкабердса	прикроватный
кокньыд	несложный
кокньыдик	лёгонький
кокувса	подножный
колан	желанный
колан	желательный
колан	соответствующий
колана	желанный
колана	желательный
колана	соответствующий
коллективнӧй	коллективный
колониальнӧй	колониальный
кольмӧдана	отравляющий
кольӧм	оставленный
кольӧм	оставшийся
колян	оставленный
команднӧй	командный
комиссионнӧй	комиссионный
коммунистическӧй	коммунистический
комсомольскӧй	комсомольский
комӧка	комковатый
комӧкӧсь	комковатый
кондитерскӧй	кондитерский
конкурснӧй	конкурсный
консервативнӧй	консервативный
контрольнӧй	контрольный
контрреволюционнӧй	контрреволюционный
кооперативнӧй	кооперативный
кормӧвӧй	кормовой
корӧгӧсь	комковатый
кослунъя	постный
космическӧй	космический
коставлытӧм	регулярный
костӧдлытӧм	безостановочный
котырттӧм	стихийный
котыртчытӧм	неорганизованный
кочегарка	кочегарка
краскаа	крашеный
красноармейскӧй	красноармейский
красногвардейскӧй	красногвардейский
краснознамённӧй	краснознамённый
крема	кремовый
крепостническӧй	крепостнический
крепостнӧй	крепостной
крепыд	сильный
крестьянскӧй	крестьянский
кружевнӧй	кружевной
крӧватьдорса	прикроватный
кубӧвӧй	кубовый
кужтӧм	неумелый
кузьмӧс	продолговатый
кузьмӧс	овальный
кузьмӧс	узкий
культурнӧй	культурный
куритчытӧм	некурящий
куркӧвӧй	курковый
куснясьтӧм	несгибаемый
куста	кустистый
кустарнӧй	кустарный
кустъяса	кустистый
куттӧм	беспрепятственный
куттӧм	несдержанный
кывкуттӧм	безответственный
кывлытӧм	неслыханный
кыддза	берёзовый
кыдъя	ломаный
кыдъя	акцент
кызмырдӧна	насильственный
кызмырдӧна	напряжённый
кыка	двойной
кыккостса	взаимный
кыкнанлабокса	обоюдный
кыласа	проглатываемый
кын	мёрзлый
кын	мороженый
кын	сырой
кырымавтӧм	анонимный
кырӧмӧсь	размытый
кырӧмӧсь	овражистый
кӧзяйскӧй	хозяйский
кӧзӧда	студёный
кӧма	обутый
кӧмавлытӧм	неношеный
кӧмӧкӧсь	комковатый
кӧпейкаа	копеечный
кӧрта	железный
кӧртвомавтӧм	необузданный
кӧртӧдтӧм	неперевязанный
кӧрыма	упитанный
кӧтасьтӧм	непромокаемый
кӧтӧдтӧм	непромокаемый
лабутнӧй	размеренный
ласков	ласковый
легкӧвӧй	легковой
лесопромышленнӧй	лесопромышленный
листа	листовой
лиш	нечет
лишалана	избыточный
локтан	предстоящий
ломтытӧм	нетопленный
ломтытӧм	неотапливаемый
лунджынся	полдневный
лунся	дневной
лучкӧвӧй	лучковый
лыаа	песчаный
лымъя	снежный
лысваа	росистый
лысӧй	лысый
лэдзчысьтӧм	настойчивый
лэптана	выдерживающий
ляб	слезливый
ляпкыд	низкий
ляпкыдик	низенький
лёк	скверный
лёк	страшный
лёк	гнев
лёк	грубость
лёк	гной
лётнӧй	лётный
лӧжнӧй	ложный
лӧз	синий
лӧз	синева
лӧсьыдик	аккуратненький
лӧсьӧдтӧм	необработанный
лӧсьӧдтӧм	неприготовленный
лӧсьӧдчытӧм	неуживчивый
лӧсявтӧм	несовместимый
маа	медоносный
майся	майский
максимальнӧй	максимальный
макӧвӧй	маховой
маннӧй	манный
мартся	мартовский
маршрута	маршрутный
масса	масса
мастерскӧй	мастерская
материалистическӧй	материалистический
материальнӧй	материальный
матросскӧй	матросский
матыссаджык	ближайший
медицинскӧй	медицинский
международнӧй	международный
мемориальнӧй	мемориальный
мераа	мерный
мераа	измеренный
меставывса	местный
месткомса	месткомовский
местнӧй	местный
метрическӧй	метрический
механическӧй	механический
миллионнӧй	миллионный
минеральнӧй	минеральный
миритчытӧм	непримиримый
мирнӧй	мирный
мирӧвӧй	мировой
мисаа	слюдяной
мисьтӧм	некрасивый
мичмӧдтӧм	неприкрашенный
многократнӧй	многократный
мобилизованнӧй	мобилизованный
могман	осуществимый
могмытӧм	неудовлетворённый
моднӧй	модный
мойдкывса	сказочный
мольыд	гладкий
мольыд	лоснящийся
монополистическӧй	монополистический
моребердса	приморский
морттуя	разумный
моторист	моторист
мувывса	земной
мувывса	полевой
мугӧм	смуглый
мудзлытӧм	неутомимый
мужика	замужняя
мунтӧм	неходовой
муртавтӧм	неизмеримый
муртӧса	рифмованный
мусаник	миленький
мускула	мускулистый
муспоз	любимый
мутшкӧса	густо
мутӧй	мутовка
муувса	подземный
мывкыд	толк
мывкыд	благоразумие
мылькйӧсь	холмистый
мылькйӧсь	бугристый
мынтысьтӧм	неплательщик
мыссьӧдтӧм	неумытый
мыськывтӧм	нестиран(н)ый
мышка	горбатый
мышкыракодь	сутуловатый
мӧймуся	прошлогодний
нагляднӧй	наглядный
надейнӧй	надёжный
надёжнӧй	надёжный
накажиттӧм	безнаказанный
накӧса	диагональный
нарицательнӧй	нарицательный
национальнӧй	национальный
начальнӧй	начальный
наянкодь	хитроватый
небыд	мягкий
невӧляа	подневольный
негора	негромкий
неграмотнӧй	неграмотный
неджуджыд	невысокий
неджуджыд	неглубокий
недырся	временный
недырся	недолгий
независимӧй	независимый
неколана	ненужный
нелегальнӧй	нелегальный
немортногса	нечеловеческий
немортногса	бесчеловечный
ненога	бестолковый
несправедливӧй	несправедливый
нетыр	неполный
неудачнӧй	неудачный
неурожайнӧй	неурожайный
нильӧг	водянистый
нильӧг	липкий
нимкыла	заговорённый
нимлунъя	именинный
нира	нетоплёный
нитшка	мшистый
нор	грустный
норасьтӧм	безропотный
нормальнӧй	нормальный
нывбабьей	бабий
ныргора	носовой
нырладорса	носовой
нырӧкӧсь	ухабистый
нэмчӧжся	вечный
нэмӧвӧйся	вековой
нэмӧвӧйся	вековечный
нэмӧвӧйся	старый
нэр	слабый
нюжйӧдлытӧм	незамедлительный
нюйтӧсь	тинистый
нюйтӧсь	илистый
нюмсера	юмористический
нюра	болотистый
нюрбердса	приболотный
нюрвывса	болотный
нюрӧсь	болотистый
няръя	перепончатый
нёджӧса	овальный
нёптола	впалый
нӧгыль	густой
обласьтувса	областной
образцӧвӧй	образцовый
общественнӧй	общественный
общӧй	общий
овлытӧм	неестественный
овмӧспытшса	внутрихозяйственный
озъя	земляничный
океансайса	заокеанский
олимпийскӧй	олимпийский
олыся	обитаемый
опыта	опытный
орчча	соседний
ота	широкий
отечественнӧй	отечественный
отхожӧй	отхожий
официальнӧй	официальный
паевӧй	паевой
панаса	вступительный
паныда	встречный
параднӧй	парадный
парнӧй	парный
партизанскӧй	партизанский
парӧвӧй	паровой
пассажирскӧй	пассажирский
пассивнӧй	пассивный
паськыд	широкий
паськыд	окладистый
паськыд	размашистый
паськыд	привольный
паськӧма	одетый
пашкыр	раскидистый
пашкыр	пушистый
пашкыр	кудрявый
педагогическӧй	педагогический
пельк	небольшой
пельк	чистый
первобытнӧй	первобытный
первокласснӧй	первоклассный
периодическӧй	периодический
перкаль	коричневый
перлӧвӧй	перловый
персональнӧй	персональный
перспективнӧй	перспективный
перӧчиннӧй	перочинный
печатнӧй	мерный
печатнӧй	печатный
пивнӧй	пивная
пирожнӧй	пирожное
плавкӧса	плоско
планӧвӧй	плановый
пленарнӧй	пленарный
плодотворнӧй	плодотворный
плодӧвӧй	плодовый
повзьӧдчана	зловещий
подзорнӧй	подзорный
подлиннӧй	подлинный
подозрительнӧй	подозрительный
подоходнӧй	подоходный
подпольнӧй	подпольный
подсобнӧй	подсобный
подъёмнӧй	подъёмный
позорнӧй	позорный
полевӧй	полевой
политическӧй	политический
полярнӧй	полярный
понятӧй	понятой
порядкӧвӧй	порядковый
посникодь	мелковатый
постояннӧй	постоянный
постӧвӧй	постовой
потребительскӧй	потребительский
похвальнӧй	похвальный
почётнӧй	почётный
пошлӧй	пошлый
поштӧвӧй	почтовый
поэтическӧй	поэтический
правительственнӧй	правительственный
православнӧй	православный
праздникводзвывса	предпраздничный
праздникдырся	праздничный
практическӧй	практический
прамӧй	приличный
прамӧй	настоящий
прамӧй	натуральный
прамӧй	довольно
преданнӧй	преданный
предательскӧй	предательский
премиальнӧй	премиальный
преступнӧй	преступный
приданнӧй	приданое
примернӧй	образцовый
принципиальнӧй	принципиальный
природнӧй	природный
приусадебнӧй	приусадебный
приёмнӧй	приёмный
приёмнӧй	приёмная
прогрессивнӧй	прогрессивный
продуктивнӧй	продуктивный
производительнӧй	производительный
производственнӧй	производственный
прокурорскӧй	прокурорский
пролетарскӧй	пролетарский
пропорциональнӧй	пропорциональный
профессиональнӧй	профессиональный
прӧст	пустой
прӧст	вакантный
прӧстӧй	напрасный
прӧстӧй	будний
психическӧй	психический
публицистическӧй	публицистический
пузчужӧм	новорождённый
пуртӧса	бобовые
пустӧй	бессодержательный
пызанвывса	настольный
пыран	входной
пытшкӧсса	внутренний
пӧдраднӧй	подрядный
пӧдса	закрытый
пӧлезнӧй	полезный
пӧлыня	наклонный
пӧлыня	кривой
пӧперега	поперечный
пӧперешнӧй	поперечный
пӧпутнӧй	попутный
пӧрнӧй	взрослый
пӧрнӧй	нестарый
пӧрысь	преклонный
пӧрысь	вековой
пӧрысь	старческий
пӧськодь	тёпленький
равноправнӧй	равноправный
радейтана	излюбленный
радӧвӧй	рядовой
разнӧй	разный
раненӧй	раненый
раса	раса
растительнӧй	растительный
реальнӧй	реальный
регулярнӧй	регулярный
регыдъя	немедленный
регыдъя	недолговечный
рекорднӧй	рекордный
ремонтнӧй	ремонтный
республиканскӧй	республиканский
решающӧй	решающий
розӧвӧй	розовый
ротнӧй	ротный
рубежсайса	зарубежный
рубежсайса	иностранный
руд	серый
руд	русый
рудов	сероватый
рудов	русоватый
ряса	ряса
рӧвнӧй	ровный
рӧдвужа	родственный
рӧдильнӧй	родильный
рӧдъя	рысистый
саженя	саженный
сакарнӧй	сахарный
самодержавнӧй	самодержавный
самодеятельнӧй	самодеятельный
самӧлюб	самолюбивый
санитарнӧй	санитарный
саридзсайса	заморский
свежӧй	свежий
священнӧй	священный
сдельнӧй	сдельный
сдобнӧй	сдобный
сезоннӧй	сезонный
семейнӧй	семейный
сера	резной
серьёзнӧй	серьёзный
сиктса	односельчанин
синводзса	внешний
синводзса	наглядный
синсайса	интимный
синчӧжӧсь	ажурный
сиптӧса	закрытый
складнӧй	связный
скуп	скупой
скӧтнӧй	скотный
славнӧй	славный
сливочнӧй	сливочный
словарнӧй	словарный
сложнӧй	сложный
случайнӧй	случайный
смертнӧй	смертный
собственнӧй	собственный
содтысян	вставочный
сортӧвӧй	сортовой
социалистическӧй	социалистический
социальнӧй	социальный
союзнӧй	союзный
спокой	покой
спокойнӧй	спокойный
спорнӧй	спорный
спортивнӧй	спортивный
справнӧй	зажиточный
справнӧй	исправный
справочнӧй	справочный
средньӧй	средний
срочнӧй	срочный
ставмирса	всемирный
ставроссияса	всероссийский
ставсоюзса	всесоюзный
стандартнӧй	стандартный
старатлив	исполнительный
стариннӧй	старинный
столярнӧй	столярный
страшнӧй	ужасный
субъективнӧй	субъективный
сувереннӧй	суверенный
сувтса	стоячий
сувтса	вертикальный
суевернӧй	суеверный
сунтола	покатый
суткися	суточный
сыктывйывса	верхнесысольский
сьӧдіник	чёрненький
сьӧдіник	чернявый
сьӧкыд	тяжёлый
сьӧкыд	беременная
сьӧкыдкодь	нелегко
сюрсатӧм	беспозвоночный
сюрӧса	хозяйственный
сёрся	поздний
сӧзваа	сочный
тактическӧй	тактический
талунся	сегодняшний
таможняса	таможенный
танквывса	танковый
тапӧ	косолапый
творческӧй	творческий
театрбердса	театральный
телевизионнӧй	телевизионный
термоядернӧй	термоядерный
технологическӧй	технологический
типографияса	типографский
тойӧсь	вшивый
томкодь	моложавый
торжественнӧй	торжественный
торйӧга	разный
тоша	бородатый
тошка	бородатый
трасса	трасса
тугъя	махровый
туйбердса	придорожный
туйвывса	путевой
тулысся	весенний
тулысъя	весенний
тупкӧса	закрытый
тупуа	дубовый
туссьӧсь	пупырчатый
тушаа	рослый
туяна	достойный
тшака	грибной
тшупӧдӧсь	ступенчатый
тшупӧдӧсь	волнистый
тшӧта	чётный
тшӧтшкӧса	ровно
тыбокса	приозёрный
тывборда	пернатый
тылавывса	подсечный
тырмӧса	обильный
тьӧтводз	неродной
тэгъя	сернистый
тілля	болотистый
тільсӧд	болотный
тӧвсайса	подветренный
тӧвся	зимний
тӧлыся	лунный
тӧрскӧба	подмёрзший
тӧрытъя	вчерашний
убыткаа	убыточный
уважлив	отзывчивый
увланьса	низовой
увтаса	низинный
уголовнӧй	уголовный
удачлив	удачливый
удачливӧй	удачливый
уйтыр	подлый
уличвывса	уличный
уллюнъя	скоромный
уліса	нижний
универсальнӧй	универсальный
унма	сонливый
урожая	урожайный
усадьбавывса	надворный
устнӧй	устный
утъя	подошвенный
утъя	подмёточный
фабрикаса	фабричный
фронтвывса	фронтовой
фруктӧвӧй	фруктовый
чаня	жерёбая
чарӧмвывса	настовый
часа	часовой
часӧвӧй	часовой
чергӧдана	сногсшибательный
четвертнӧй	четвертной
чикля	кривляка
чина	чиновный
чирыд	жгучий
читкыля	загнутый
чорпа	неровный
чорыд	твёрдый
чорыд	чёрствый
чорыд	крепкий
чош	настороженный
чужан	родной
чужан	всхожий
чужсьӧг	новорождённый
чукырӧсь	морщинистый
чукӧра	кучевой
чулькйӧсь	бугристый
чунькостса	межпальцевой
чунӧк	чуткий
чуртчӧс	громоздкий
чусыд	тусклый
чуткасьысь	колючий
шав	низкий
шарикӧвӧй	шариковый
шваньгун	улыбчивый
швичкан	трескучий
швичӧг	хлёсткий
швычӧк	гибкий
шепта	колосистый
школабердса	пришкольный
шлипӧвӧй	шлифованный
шлюн	покатый
шлюн	плоский
шмонлив	шутливый
шмоньлив	шутливый
шовинистическӧй	шовинистический
шондіа	солнечный
штатскӧй	штатский
шуда	счастливый
шуйга	левый
шуля	слоистый
шуля	волокнистый
шума	шумный
шыа	звуковой
шыгрӧс	покоробившийся
шыгрӧс	овальный
шыдӧса	крупяной
шыдӧса	рассыпчатый
шылада	мелодичный
шӧрвыйса	средний
шӧркодь	средний
шӧрпӧлӧс	средний
ывлавывса	природный
ыджыд	старший
ыкша	хвастливый
ылӧга	заманчивый
ыргӧна	медный
экономическӧй	экономический
элементарнӧй	элементарный
эмаля	эмалированный
энергетическӧй	энергетический
юбилейводзвывса	предъюбилейный
юдорса	приречный
юйывса	верховой
юмовкодь	сладковатый
юмовкодь	пресноватый
юридическӧй	юридический
юркарса	столичный
юса	речной
юсайса	заречный
ядернӧй	ядерный
ялаа	ягельный
ямскӧй	ямской
ярмангавывса	ярмарочный
ярӧвӧй	яровой
ярӧвӧй	яровые
ӧбиднӧй	обидный
ӧбичаа	высоконравственный
ӧда	быстроходный
ӧдаль	отдалённый
ӧдзлӧс	ходкий
ӧзъяна	вспыльчивый
ӧкаяннӧй	окаянный
ӧктана	наборный
ӧлӧдан	предупредительный
ӧпаснӧ	опасно
ӧстатки	остатки
ӧстатки	последний
ӧталягъя	редкий
ӧталягъя	неровный
ӧтарбока	односторонний
ӧтвесьта	равный
ӧтвывтан	соединительный
ӧтвывтан	собирательный
ӧтка	единичный
ӧтка	единственный
ӧтка	индивидуальный
ӧтка	единоличный
ӧткодь	безразлично
ӧткодь	равный
ӧтласа	общий
ӧтпертаса	однообразный
ӧтпомся	вплотную
ӧтпырся	единовременный
ӧтсӧгласа	солидарный
ӧтчаяннӧй	отчаянный
ӧтчукӧра	кучный
ӧтчыдъя	однократный
абуджык	менее
абутӧма	бедно
аскомысь	послезавтра
аснаукӧн	самоучкой
асшодйӧн	самотёком
баквала	хвастливо
барышнӧ	выгодно
бережнӧя	бережно
бокала	боком
боквыв	на́бок
буждӧдана	осыпая
бурасяна	примиренчески
бурӧн	легко
бӧба	глупо
бӧбмӧмӧн	растерянно
бӧръяпом	наконец
бӧрыннас	наконец
важнӧ	важно
важӧн	давно
вевсьӧн	стопкой
вежлива	вежливо
вежӧгтӧмпырысь	ревниво
велӧдана	внушительно
веритчытӧмпырысь	скептически
вернӧя	верно
весела	весело
виджадӧн	вкось
видзчысьӧмпырысь	осторожно
видзчысьӧмпырысь	сдержанно
визула	быстро
винӧвата	виновато
виш	совсем
воддзаӧн	первым
водзджык	прежде
водзкодь	рановато
вомлала	поперёк
вомӧнӧн	поперёк
востера	бойко
восьлӧн	шагом
выльӧн	вновь
вӧктӧмпырысь	брезгливо
вӧлись	только
вӧлись	потом
вӧляникысь	непринуждённо
вӧсниа	тонко
гажаа	весело
гажапырысь	весело
гажтӧма	жутко
гажтӧмакодь	скучновато
гара	туго
гежӧда	редко
гораа	вслух
гораакодь	громковато
горша	жадно
горӧн	громко
грамотнӧя	грамотно
гудыра	мутно
гудыра	тускло
гулыда	ярко
гылыда	раскатисто
гырыся	крупно
гӧгрӧсӧн	кругло
гӧгӧрпӧв	кругом
гӧлиника	бедно
гӧльпырысь	бедновато
гӧльпырысь	скудновато
гӧля	бедно
гӧнечӧн	бегом
гӧнечӧн	рысью
гӧрдӧдз	докрасна
джуджыда	высоко
джуджыда	глубоко
джынвыйӧ	наполовину
дзескыда	тесно
дзирйыв	настежь
дзольӧбӧн	струёй
дзоньвидзаӧн	благополучно
дивитӧмпырысь	укоризненно
долыдпырысь	радостно
донтӧма	дёшево
дорала	запоем
доролӧн	набекрень
дув	неподвижно
дув	плавно
дузӧба	недовольно
дузӧба	обидчиво
дурка	неуклюже
дышпырысь	лениво
дышпырысь	халатно
дӧсадапырысь	досадливо
дӧсаднӧ	досадно
жалиттӧма	безжалостно
жара	жарко
жеба	слабо
жеба	скудно
жлеча	задиристо
забеднӧпырысь	обиженно
завиднӧ	завидно
зажиточнӧя	зажиточно
заочнӧ	заочно
збодера	бодро
збодера	щеголевато
збыльпырысь	всерьёз
здӧвӧльпырысь	довольно
зумыда	уверенно
зуркыда	тряско
зьвага	брюзгливо
зэлыда	туго
зэлыда	крепко
идӧртӧма	бесхозяйственно
именнӧ	именно
интереснӧя	интересно
исправнӧ	исправно
йӧя	глупо
кальӧба	нервно
кельыда	бледно
кельыда	слабо
кизьӧра	жидко
кикимльӧс	наотмашь
кокниа	легко
кокниа	свободно
кокньӧдана	облегчённо
коланінӧ	кстати
кольыштӧма	остаток
коранаа	просительно
котӧрӧн	бегом
крута	круто
кужтӧма	неумело
кузьмӧса	продолговато
культурнӧя	культурно
курыда	горько
курыдпырысь	горьковатый
кывзысьтӧма	непослушно
кыйкъялана	озираясь
кылан	слуховой
кылан	слышный
кылан	чувствующий
кымынь	ничком
кыпыда	торжественно
кӧлена	потомки
кӧритӧмпырысь	укоризненно
кӧсйытӧмпырысь	нехотя
кӧсӧя	косо
лабутнӧя	неторопливо
лажмыда	мелко
лайкӧдана	убаюкивая
ласкова	ласково
леститчӧмпырысь	заискивающе
лигыша	облегчённо
ловйӧн	живьём
ловйӧн	живым
лунын	днём
лучшӧ	лучше
лывкыда	плавно
лэчыда	остро
люб	добровольно
лючки	благополучно
лючки	внимательно
лючки	аккуратно
ляпкыда	низко
ляпкыда	мелко
лӧня	скромно
лӧсьыда	красиво
лӧсьыда	удобно
лӧсьыда	аккуратно
лӧсьыда	приятно
лӧсьыда	удачно
